SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Mobile/Manufactured Home,1391 Sunbeam Cir #1391,San Jose,CA,95122,385000,3,2.0,SAN JOSE,1248,,1980,4,308,,Active,,,https://www.redfin.com/CA/San-Jose/1391-Sunbeam-Cir-95122/unit-1391/home/187661913,MLSListings,ML81943095,N,Y,37.3339559,-121.8504688
MLS Listing,,Townhouse,85 Montecito Vista Dr #5,San Jose,CA,95111,1098000,3,3.5,SAN JOSE,1953,795,2018,4,562,289,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/85-Montecito-Vista-Dr-95111/unit-5/home/167458093,MLSListings,ML81943091,N,Y,37.2910692,-121.8533731
MLS Listing,,Single Family Residential,3283 Lindenoaks Dr,San Jose,CA,95117,1800000,4,2.0,SAN JOSE,1400,6881,1956,4,1286,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/3283-Lindenoaks-Dr-95117/home/745427,MLSListings,ML81943088,N,Y,37.3119143,-121.9555321
MLS Listing,,Condo/Co-op,423 N 2nd St #136,San Jose,CA,95112,578000,1,1.0,SAN JOSE,730,,1994,4,792,513,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/423-N-2nd-St-95112/unit-136/home/937150,MLSListings,ML81943078,N,Y,37.342744,-121.894925
MLS Listing,,Vacant Land,51000 Mines Rd,San Jose,CA,95140,1275000,,,San Jose,3484800,3484800,,4,0,,Active,,,https://www.redfin.com/CA/San-Jose/51000-Mines-RD-95140/home/187660693,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040148,N,Y,37.3712,-121.7156
MLS Listing,,Condo/Co-op,46 W Julian St #431,San Jose,CA,95110,899000,2,2.0,SAN JOSE,1596,,2004,4,563,730,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/46-W-Julian-St-95110/unit-431/home/766769,MLSListings,ML81943073,N,Y,37.3400506,-121.8944256
MLS Listing,,Condo/Co-op,3338 Kimber Ct #7,San Jose,CA,95124,639000,2,1.0,SAN JOSE,886,,1977,4,721,365,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/3338-Kimber-Ct-95124/unit-7/home/1156821,MLSListings,ML81943071,N,Y,37.2642549,-121.9220504
MLS Listing,,Condo/Co-op,7622 Stoneshire Ct,San Jose,CA,95135,950000,2,2.0,SAN JOSE,1509,,1988,4,630,1101,Active,,,https://www.redfin.com/CA/San-Jose/7622-Stoneshire-Ct-95135/home/718833,MLSListings,ML81942317,N,Y,37.2886958,-121.7407029
MLS Listing,,Single Family Residential,529 Columbia Ave,San Jose,CA,95126,999800,4,1.0,SAN JOSE,1716,5000,1910,4,583,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/529-Columbia-Ave-95126/home/1449467,MLSListings,ML81942426,N,Y,37.3249456,-121.8987056
MLS Listing,,Condo/Co-op,5935 Flash Ct,San Jose,CA,95119,975900,2,2.0,SAN JOSE,1404,,2023,4,695,440,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/5935-Flash-Ct-95119/home/186185867,MLSListings,ML81943058,N,Y,37.2411886,-121.7871489
MLS Listing,,Condo/Co-op,6617 Optimun Loop,San Jose,CA,95119,1332471,4,3.5,SAN JOSE,2029,,2023,4,657,440,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/6617-Optimum-Loop-95119/home/186468621,MLSListings,ML81943049,N,Y,37.241742,-121.786397
MLS Listing,,Single Family Residential,3041 Harvestwood Ct,San Jose,CA,95148,1750000,5,3.0,SAN JOSE,2253,6355,1976,4,777,,Active,September-30-2023 12:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/3041-Harvestwood-Ct-95148/home/1688422,MLSListings,ML81936589,N,Y,37.3274674,-121.7857437
MLS Listing,,Single Family Residential,1563 Williamsport Dr,San Jose,CA,95131,1668000,4,3.0,SAN JOSE,1822,4255,1988,4,915,,Active,September-30-2023 11:00 AM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1563-Williamsport-Dr-95131/home/1514102,MLSListings,ML81943040,N,Y,37.3852746,-121.8819876
MLS Listing,,Townhouse,461 Northlake Dr #25,San Jose,CA,95117,998000,3,2.5,SAN JOSE,1626,877,1985,4,614,497,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/461-Northlake-Dr-95117/unit-25/home/1829804,MLSListings,ML81942452,N,Y,37.3195711,-121.9700133
MLS Listing,,Single Family Residential,4915 Bel Escou Dr,San Jose,CA,95124,1799000,3,2.0,SAN JOSE,1180,8041,1953,4,1525,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/4915-Bel-Escou-Dr-95124/home/836210,MLSListings,ML81943027,N,Y,37.2479302,-121.9328017
MLS Listing,,Single Family Residential,967 Wallace Dr,San Jose,CA,95120,1949000,4,2.0,SAN JOSE,1859,6233,1965,4,1048,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/967-Wallace-Dr-95120/home/1170911,MLSListings,ML81942603,N,Y,37.2257284,-121.8588697
MLS Listing,,Single Family Residential,1425 Taper Ct,San Jose,CA,95122,988888,4,2.0,SAN JOSE,1329,2600,1974,5,744,,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/San-Jose/1425-Taper-Ct-95122/home/1219037,MLSListings,ML81942370,N,Y,37.3234631,-121.8374237
MLS Listing,,Condo/Co-op,5258 Cribari Hts,San Jose,CA,95135,499000,2,1.0,SAN JOSE,947,,1969,5,527,830,Active,,,https://www.redfin.com/CA/San-Jose/5258-Cribari-Hts-95135/home/1666819,MLSListings,ML81943016,N,Y,37.297517,-121.754989
MLS Listing,,Condo/Co-op,8613 Vineyard Ridge Pl,San Jose,CA,95135,899000,3,2.0,SAN JOSE,1582,,1994,5,568,1237,Active,,,https://www.redfin.com/CA/San-Jose/8613-Vineyard-Ridge-Pl-95135/home/1132139,MLSListings,ML81943015,N,Y,37.2874011,-121.7429077
MLS Listing,,Single Family Residential,21951 Shillingsburg Ave,San Jose,CA,95120,1850000,2,1.0,SAN JOSE,1600,232616,1976,5,1156,,Active,,,https://www.redfin.com/CA/San-Jose/21951-Shillingsburg-Ave-95120/home/1546665,MLSListings,ML81921133,N,Y,37.1984799,-121.7950225
MLS Listing,,Single Family Residential,328 El Portal Way,San Jose,CA,95119,1550000,4,2.0,ALMADEN,2212,8190,1968,5,701,40,Active,September-30-2023 12:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/San-Jose/328-El-Portal-Way-95119/home/1005384,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040090,N,Y,37.2334421,-121.8035567
MLS Listing,,Condo/Co-op,1055 N Capitol Ave #52,San Jose,CA,95133,636000,2,2.0,SAN JOSE,832,,1981,6,764,534,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1055-N-Capitol-Ave-95133/unit-52/home/1603274,MLSListings,ML81942659,N,Y,37.3835775,-121.8592127
MLS Listing,,Single Family Residential,1812 Dry Creek Rd,San Jose,CA,95124,3100000,4,2.5,SAN JOSE,2754,18295,1977,6,1126,,Active,,,https://www.redfin.com/CA/San-Jose/1812-Dry-Creek-Rd-95124/home/849074,MLSListings,ML81941998,N,Y,37.2840934,-121.9205107
MLS Listing,,Single Family Residential,3778 Chilton Ct,San Jose,CA,95111,1440000,4,2.5,SJOS - San Jose,2291,5512,1998,6,629,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/3778-Chilton-Ct-95111/home/958351,CRMLS,PW23178195,N,Y,37.2874402,-121.8265691
MLS Listing,,Townhouse,17 Deer Run Cir,San Jose,CA,95136,880888,2,2.5,SAN JOSE,1196,1513,1988,6,737,355,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/17-Deer-Run-Cir-95136/home/985920,MLSListings,ML81942969,N,Y,37.2670227,-121.8243923
MLS Listing,,Single Family Residential,1313 Michigan Ave,Alviso,CA,95002,1250000,5,3.0,Alviso,1630,6107,1940,7,767,,Active,,,https://www.redfin.com/CA/Alviso/1313-Michigan-Ave-95002/home/1783547,MetroList,223092830,N,Y,37.4273432,-121.9710615
MLS Listing,,Condo/Co-op,88 E San Fernando St #1702,San Jose,CA,95113,999000,2,2.0,SAN JOSE,1224,,2008,7,816,1009,Active,,,https://www.redfin.com/CA/San-Jose/88-E-San-Fernando-St-95113/unit-1702/home/23048653,MLSListings,ML81936775,N,Y,37.3350563,-121.8872863
MLS Listing,,Single Family Residential,182 S Morrison Ave,San Jose,CA,95126,1649999,4,2.5,SAN JOSE,2085,6283,1942,7,791,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/182-S-Morrison-Ave-95126/home/709135,MLSListings,ML81942939,N,Y,37.3268902,-121.9081305
MLS Listing,,Multi-Family (2-4 Unit),816 Opal Dr,San Jose,CA,95117,1780000,7,4.0,SAN JOSE,2686,7359,1960,7,663,,Active,,,https://www.redfin.com/CA/San-Jose/816-Opal-Dr-95117/home/1534336,MLSListings,ML81942936,N,Y,37.3129019,-121.9523104
MLS Listing,,Single Family Residential,4033 Valerie Dr,Campbell,CA,95008,1838888,4,2.0,CAMPBELL,1782,5931,1971,7,1032,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/4033-Valerie-Dr-95008/home/1231277,MLSListings,ML81942930,N,Y,37.279872,-121.9725967
MLS Listing,,Single Family Residential,815 Upton Way,San Jose,CA,95136,1400000,4,2.5,SAN JOSE,2000,6117,1968,7,700,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/815-Upton-Way-95136/home/863539,MLSListings,ML81942929,N,Y,37.2699218,-121.8659011
MLS Listing,,Condo/Co-op,25 S 3rd St #411,San Jose,CA,95113,585000,1,1.0,SAN JOSE,692,,2007,7,845,491,Active,,,https://www.redfin.com/CA/San-Jose/25-S-3rd-St-95113/unit-411/home/17288876,MLSListings,ML81942926,N,Y,37.3364883,-121.8882349
MLS Listing,,Townhouse,700 Adeline Ave,San Jose,CA,95136,1388000,4,3.5,SAN JOSE,2209,871,2005,7,628,310,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/700-Adeline-Ave-95136/home/2124334,MLSListings,ML81942921,N,Y,37.2864793,-121.8617805
MLS Listing,,Condo/Co-op,2421 Julibee Ln,San Jose,CA,95131,519000,1,1.0,BERRYESSA,645,1771,1990,7,805,352,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/2421-Jubilee-Ln-95131/home/1501481,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039604,N,Y,37.4017517,-121.8855678
MLS Listing,,Condo/Co-op,5486 Spinnaker Walkway #2,San Jose,CA,95123,534000,2,1.0,SAN JOSE,903,3036,1969,7,591,420,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/5486-Spinnaker-Ww-95123/unit-2/home/1313468,MLSListings,ML81937046,N,Y,37.2542323,-121.822633
MLS Listing,,Single Family Residential,3205 Napa Ct,San Jose,CA,95148,1350000,4,2.0,SAN JOSE,1200,8621,1971,7,1125,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/3205-Napa-Ct-95148/home/1824509,MLSListings,ML81942896,N,Y,37.3350056,-121.7958235
MLS Listing,,Condo/Co-op,129 Silcreek Dr,San Jose,CA,95116,749000,2,2.0,SAN JOSE,1313,,1984,7,570,735,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/129-Silcreek-Dr-95116/home/975148,MLSListings,ML81941348,N,Y,37.356462,-121.853276
MLS Listing,,Single Family Residential,2723 Westgate,San Jose,CA,95125,2188000,4,3.0,SAN JOSE,1755,6988,1955,7,1247,,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/2723-Westgate-Ave-95125/home/1334522,MLSListings,ML81942834,N,Y,37.2790377,-121.890169
MLS Listing,,Single Family Residential,836 Las Palmas Way,San Jose,CA,95133,1198000,3,2.5,SAN JOSE,1566,3486,1997,8,765,100,Active,September-30-2023 02:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/San-Jose/836-Las-Palmas-Way-95133/home/770473,MLSListings,ML81942823,N,Y,37.377616,-121.8550379
MLS Listing,,Single Family Residential,1235 Paula Dr,Campbell,CA,95008,1949000,4,2.5,CAMPBELL,1784,6127,1960,8,1092,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/1235-Paula-Dr-95008/home/1754368,MLSListings,ML81941358,N,Y,37.2898345,-121.9717723
MLS Listing,,Single Family Residential,635 E Mission St,San Jose,CA,95112,1299000,4,2.5,SAN JOSE,1332,6182,1910,8,975,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/635-E-Mission-St-95112/home/697460,MLSListings,ML81942800,N,Y,37.3575952,-121.8889685
MLS Listing,,Multi-Family (5+ Unit),110 Graham Ave,San Jose,CA,95110,4600000,22,16.0,SAN JOSE,10300,14000,1950,8,447,,Active,,,https://www.redfin.com/CA/San-Jose/110-Graham-Ave-95110/home/1606681,MLSListings,ML81942797,N,Y,37.3188465,-121.8798755
MLS Listing,,Multi-Family (2-4 Unit),1232 Normandy Way,Santa Clara,CA,95050,1498000,4,2.0,SANTA CLARA,1857,6964,1959,8,807,,Active,,,https://www.redfin.com/CA/Santa-Clara/1232-Normandy-Way-95050/home/1011482,MLSListings,ML81942776,N,Y,37.3382215,-121.9420226
MLS Listing,,Condo/Co-op,766 Warring Dr #4,San Jose,CA,95123,520000,2,1.0,SAN JOSE,798,,1970,8,652,460,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/766-Warring-Dr-95123/unit-4/home/1608548,MLSListings,ML81942749,N,Y,37.2481508,-121.85265
MLS Listing,,Condo/Co-op,88 E San Fernando St #2002,San Jose,CA,95113,1049000,2,2.0,SAN JOSE,1224,,2008,8,857,1009,Active,,,https://www.redfin.com/CA/San-Jose/88-E-San-Fernando-St-95113/unit-2002/home/23048670,MLSListings,ML81940317,N,Y,37.3350563,-121.8872863
MLS Listing,,Single Family Residential,1719 Harmil Way,San Jose,CA,95125,1899000,4,2.5,SAN JOSE,2266,5756,1938,8,838,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/1719-Harmil-Way-95125/home/1085374,MLSListings,ML81942735,N,Y,37.2993807,-121.8900245
MLS Listing,,Single Family Residential,105 S 15th St,San Jose,CA,95112,1675000,3,2.0,SAN JOSE,2005,6863,1922,8,835,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/105-S-15th-St-95112/home/1702913,MLSListings,ML81942728,N,Y,37.3409139,-121.874984
MLS Listing,,Single Family Residential,,San Jose,CA,95127,1099800,3,2.5,SAN JOSE,1841,2613,1999,8,597,156,Active,,,https://www.redfin.com/CA/San-Jose/Undisclosed-address-95127/home/887608,MLSListings,ML81942723,N,Y,37.363103,-121.8260798
MLS Listing,,Condo/Co-op,2859 S Bascom Ave #305,Campbell,CA,95008,695000,2,2.0,CAMPBELL,841,,1984,8,826,480,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Campbell/2859-S-Bascom-Ave-95008/unit-305/home/827203,MLSListings,ML81942719,N,Y,37.270718,-121.9379914
MLS Listing,,Single Family Residential,3362 Mount Logan Dr,San Jose,CA,95127,908888,3,2.0,SAN JOSE,1198,5388,1960,8,759,,Active,,,https://www.redfin.com/CA/San-Jose/3362-Mount-Logan-Dr-95127/home/1455496,MLSListings,ML81942717,N,Y,37.3541539,-121.8062362
MLS Listing,,Single Family Residential,4262 Meg Dr,San Jose,CA,95136,1375000,3,2.0,SAN JOSE,1424,9596,1969,8,966,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/San-Jose/4262-Meg-Dr-95136/home/735571,MLSListings,ML81942712,N,Y,37.2712146,-121.8544997
MLS Listing,,Condo/Co-op,4681 Albany Cir #132,San Jose,CA,95129,588000,1,1.0,SAN JOSE,813,,1982,8,723,558,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Jose/4681-Albany-Cir-95129/unit-132/home/1464930,MLSListings,ML81942709,N,Y,37.3216877,-121.9856113
