SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,UTILITIES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,NUM_STORIES,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PARK_DESCRIPTION,DINNING_DESC,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,LAUNDARY_FEATURES,BATH_DESCRIPTION,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Single Family Residential,5795 Pepperridge Way,Concord,CA,94521,1285000,5.0,3.5,Not Listed,3186,22610.0,1988.0,1,403,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Concord/5795-Pepperridge-Way-94521/home/1787904,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040551,N,Y,37.9357985,-121.948422,3.0,"Hardwood, Laminate, Engineered Wood, Painted/Stained","All Public Utilities, Cable Connected, Internet Available, Natural Gas Available, Natural Gas Connected, Master Electric Meter, Master Gas Meter","Solar, Central, Fireplace Insert, Fireplace(s)","Ceiling Fan(s), Zoned",7,6,7,2.5,403.0,1345777.0,9086.0,1,Somewhat bikeable,3,Car-dependent,24,Minimal transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 25 restaurants, 4 parksTransit1, 10, 15, 310, 315, 612, 615, 7, 93X","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040551",1285000.0,"Mar 23, 2013","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40607111",NA,"Mar 15, 2013","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40607111",699900.0,,,,https://www.redfin.com/CA/Concord/5795-Pepperridge-Way-94521/home/1787904,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1755 Glazier Dr,Concord,CA,94521,700000,3.0,2.0,,1571,8200.0,1963.0,2,446,,Active,,,https://www.redfin.com/CA/Concord/1755-Glazier-Dr-94521/home/703904,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040453,N,Y,37.9703076,-121.9830791,2.0,"Laminate, Linoleum, Tile, Carpet, Wood",,Forced Air,"Ceiling Fan(s), Wall/Window Unit(s)",5,3,5,2.5,446.0,724560.0,4949.0,48,Somewhat bikeable,37,Car-dependent,26,Some transit,Major,Moderate,Moderate,Minimal,"Places3 groceries, 33 restaurants, 1 parkTransit10, 15, 310, 315, 612, 615, 93X","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040453",700000.0,,,,,,,,,,https://www.redfin.com/CA/Concord/1755-Glazier-Dr-94521/home/703904,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4885 Cherokee,Concord,CA,94521,799000,5.0,3.0,Not Listed,1789,11400.0,1959.0,2,447,,Active,,,https://www.redfin.com/CA/Concord/4885-Cherokee-Dr-94521/home/1500245,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040443,N,Y,37.9605735,-121.9759376,2.0,"Hardwood, Laminate, Tile",All Public Utilities,Forced Air,Central Air,6,5,7,2.5,447.0,802210.0,5649.0,57,Bikeable,56,Somewhat walkable,28,Some transit,Minimal,Major,Moderate,Minimal,"Places2 groceries, 32 restaurants, 4 parksTransit10, 15, 310, 315, 612, 615, 93X","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040443",799000.0,"May 1, 1998","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #10247811",NA,"Nov 20, 1997","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #10247811",185000.0,,,,https://www.redfin.com/CA/Concord/4885-Cherokee-Dr-94521/home/1500245,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1771 Broadway St #206,Concord,CA,94520,288000,1.0,1.0,Concord,560,549.0,1983.0,3,514,348.0,Active,,,https://www.redfin.com/CA/Concord/1771-Broadway-St-94520/unit-206/home/738264,MetroList,223093900,N,Y,37.9764039,-122.0399867,1.0,"Laminate, Linoleum",Cable Connected,Central,Central,2,6,2,,514.0,288410.0,2384.0,56,Bikeable,93,Walker's paradise,51,Good transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 35 restaurants, 0 parksTransit10, 11, 14, 15, 16, 17, 19, 20, 201, 28, 310, 311, 314, 315, 320, 611, 612, 613, 615, 616, 91X, BridgeA, BridgeB, BusBridge-N, BusBridge-S, Yellow-N, Yellow-S","Feb 28, 2002","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #11127836",NA,"Feb 6, 2002","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #11127836",99950.0,,,,,,,https://www.redfin.com/CA/Concord/1771-Broadway-St-94520/unit-206/home/738264,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1445 Bel Air Dr Unit B,Concord,CA,94521,515000,2.0,1.5,TORREY PINES,1122,902.0,1971.0,3,459,380.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Concord/1445-Bel-Air-Dr-94521/unit-B/home/973092,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040356,N,Y,37.9633226,-121.9912497,,"Tile, Carpet",,Forced Air,Central Air,5,3,5,2.5,459.0,515737.0,4021.0,59,Bikeable,83,Very walkable,31,Some transit,Moderate,Minor,Moderate,Minimal,"Places3 groceries, 31 restaurants, 2 parksTransit10, 15, 310, 315, 612, 615, 616, 93X","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040356",515000.0,"Jun 10, 2020","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40900303",NA,"Jun 2, 2020","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40900303",360000.0,"Apr 7, 2020","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40900303",375000.0,https://www.redfin.com/CA/Concord/1445-Bel-Air-Dr-94521/unit-B/home/973092,,"Mar 27, 2020","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40900303",385000.0,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,,Concord,CA,94520,725000,3.0,2.0,,1229,6000.0,1960.0,3,590,,Active,,,https://www.redfin.com/CA/Concord/Undisclosed-address-94520/home/1966820,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040250,N,Y,37.9968933,-122.03418,2.0,Vinyl,,Forced Air,Central Air,2,3,2,2.5,590.0,735056.0,5191.0,51,Bikeable,69,Somewhat walkable,38,Some transit,Major,Major,Major,Minimal,"Places2 groceries, 15 restaurants, 10 parksTransit10, 11, 14, 15, 16, 17, 19, 20, 201, 27, 28, 310, 311, 314, 315, 320, 611, 612, 615, 91X, 99X, BridgeA, BridgeB, BusBridge-N, BusBridge-S, Yellow-N, Yellow-S","Sep 26, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040250",725000.0,,,,,,,,,,https://www.redfin.com/CA/Concord/Undisclosed-address-94520/home/1966820,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,3051 Treat Blvd #55,Concord,CA,94518,330000,1.0,1.0,Not Listed,730,,1971.0,3,452,510.0,Active,September-30-2023 12:00 PM,September-30-2023 02:00 PM,https://www.redfin.com/CA/Concord/3051-Treat-Blvd-94518/unit-55/home/1798023,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040274,N,Y,37.9393406,-122.0247252,,Engineered Wood,,Wall Furnace,,4,2,3,2.5,452.0,331153.0,2843.0,68,Bikeable,69,Somewhat walkable,30,Some transit,Moderate,Minor,Moderate,Minimal,"Places2 groceries, 15 restaurants, 1 parkTransit1, 11, 14, 15, 16, 311, 314, 611, 613, 616, 619, 7, 92X, 93X","Sep 26, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040274",330000.0,,,,,,,,,,https://www.redfin.com/CA/Concord/3051-Treat-Blvd-94518/unit-55/home/1798023,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1547 Ohara Ct,Clayton,CA,94517,959000,4.0,3.0,WESTWOOD,1739,5830.0,1984.0,5,551,138.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Clayton/1547-Ohara-Ct-94517/home/1893002,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039913,N,Y,37.952766,-121.9533712,2.0,"Hardwood, Tile, Carpet",,Forced Air,Central Air,7,6,7,2.5,551.0,961247.0,6919.0,58,Bikeable,77,Very walkable,,,Major,Major,Moderate,Minimal,"Places5 groceries, 25 restaurants, 2 parksTransit10, 15, 310, 315, 612, 615, 93X","Sep 25, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039913",959000.0,"May 17, 2011","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40519345",NA,"Apr 15, 2011","Price Changed (Price Change)bridgeMLS, Bay East AOR, or Contra Costa AOR #40519345",394900.0,"Apr 15, 2011","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40519345",339900.0,https://www.redfin.com/CA/Clayton/1547-Ohara-Ct-94517/home/1893002,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,5450 Kirkwood Dr Unit K2,Concord,CA,94521,599500,2.0,2.0,CONCORD,1272,1272.0,1981.0,6,471,600.0,Active,,,https://www.redfin.com/CA/Concord/5450-Kirkwood-Dr-94521/unit-K2/home/714857,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040102,N,Y,37.957626,-121.9458045,1.0,"Hardwood, Carpet","Cable Connected, Natural Gas Connected",Central,Central Air,6,6,7,2.5,471.0,601742.0,4839.0,15,Somewhat bikeable,25,Car-dependent,24,Minimal transit,Minimal,Major,Moderate,Minimal,"Places5 groceries, 23 restaurants, 2 parksTransit10, 15, 200, 201, 310, 315, 380, 387, 388, 389, 390, 392, 394, 396, 612, 615, 709, 93X","Sep 24, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040102",599500.0,"Aug 22, 2016","Pending (Pending - Show for Backups)bridgeMLS, Bay East AOR, or Contra Costa AOR #40751057",NA,"Aug 15, 2016","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40751057",375000.0,"Jul 27, 2016","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40751057",399000.0,https://www.redfin.com/CA/Concord/5450-Kirkwood-Dr-94521/unit-K2/home/714857,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1036 Oak Grove Rd #87,Concord,CA,94518,369990,1.0,1.0,OAK CREEK,671,,1971.0,7,551,460.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Concord/1036-Oak-Grove-Rd-94518/unit-87/home/1788270,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040057,N,Y,37.9532875,-122.034723,,Laminate,,Baseboard,Wall/Window Unit(s),3,2,3,2.5,551.0,370908.0,3076.0,48,Somewhat bikeable,60,Somewhat walkable,31,Some transit,Severe,Minimal,Moderate,Minimal,"Places9 groceries, 31 restaurants, 0 parksTransit10, 11, 14, 15, 16, 17, 19, 20, 28, 310, 311, 314, 315, 320, 611, 612, 613, 615, 616, 619, 7, 9, 91X","Sep 23, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040057",369990.0,"Jun 17, 2018","Pending (Pending - Show for Backups)bridgeMLS, Bay East AOR, or Contra Costa AOR #40822141",NA,"May 16, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40822141",240000.0,,,,https://www.redfin.com/CA/Concord/1036-Oak-Grove-Rd-94518/unit-87/home/1788270,,,,,,,,,,,,,,,,,,,,,,,,,,
