SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HEATING_FEATURES,FLOORING_FEATURES,UTILITIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,url,HAS_GARAGE,COOLING_FEATURES,BUYER_AGENCY_COMPENSATION,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,NUM_STORIES,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_PRICE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY10_EVENT_TYPE
MLS Listing,,Condo/Co-op,51 Innes Ct,San Francisco,CA,94124,1290000,5.0,2.0,San Francisco,1600.0,13880.0,2017.0,1,806.0,894.0,Active,,,https://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/home/145411020,San Francisco MLS,423905690,N,Y,37.7272117,-122.367848,,,,2,4,4,806.0,1289310.0,10015.0,31,Somewhat bikeable,32,Car-dependent,50,Good transit,Minimal,NA,Minor,Minimal,"Places6 groceries, 27 restaurants, 13 parksTransit15, 19, 23, 29, 44, 54, 91",,,,,,,https://www.redfin.com/CA/San-Francisco/51-Innes-Ct-94124/home/145411020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),2557 - 2571 Filbert St,San Francisco,CA,94123,8750000,6.0,1.0,San Francisco,6713.0,8659.0,,1,1303.0,,Active,,,https://www.redfin.com/CA/San-Francisco/2557-Filbert-St-94123/home/1451738,San Francisco MLS,423913337,N,Y,37.7969974,-122.4416363,,,,5,8,NA,1303.0,,61868.0,64,Bikeable,96,Walker's paradise,71,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places3 groceries, 28 restaurants, 1 parkTransit1, 101, 114, 130, 132, 150, 154, 172, 22, 24, 28, 30, 43, 45, 91","Sep 30, 2023",Listed (Active)San Francisco MLS #423913337,8750000.0,"Sep 11, 2023",Listed (Active)San Francisco MLS #423907253,8750000.0,https://www.redfin.com/CA/San-Francisco/2557-Filbert-St-94123/home/1451738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),601 - 609 Pennsylvania Ave,San Francisco,CA,94107,2998000,10.0,4.0,San Francisco,2840.0,,,1,1056.0,,Active,,,https://www.redfin.com/CA/San-Francisco/601-Pennsylvania-Ave-94107/home/1438865,BAREIS,423900205,N,Y,37.7588705,-122.3929889,"Varies By Unit, Gas, Floor Furnace, Fireplace Insert, Electric","Wood, Tile",,5,3,NA,1056.0,,21198.0,75,Very bikeable,91,Walker's paradise,70,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places2 groceries, 30 restaurants, 6 parksTransit15, 19, 22, 48, 55, 91, B7, CCA/Adobe, East, KT, L1, L2, L3, L4, L5, L6, TBUS, TC, West","Sep 30, 2023",Listed (Active)BAREIS #423900205,2998000.0,"Jun 16, 2023",,NA,https://www.redfin.com/CA/San-Francisco/601-Pennsylvania-Ave-94107/home/1438865,,"Varies By Unit, Ceiling Fan(s)",,"May 26, 2023",,NA,"May 2, 2023",,NA,"Mar 13, 2023",,NA,"Feb 23, 2023",,NA,,,,,,,,,"Jan 24, 2023",NA,"Jan 3, 2023",NA,"Dec 15, 2022",NA,"Nov 30, 2022",NA,,,,
MLS Listing,,Single Family Residential,1835 Wawona St,San Francisco,CA,94116,1200000,3.0,2.0,San Francisco,1338.0,3824.0,,1,897.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1835-Wawona-St-94116/home/1494129,San Francisco MLS,423760664,N,Y,37.7367662,-122.4868577,"Central, Gas","Tile, Wood",Natural Gas Connected,8,6,7,897.0,1307593.0,8485.0,47,Somewhat bikeable,68,Somewhat walkable,59,Good transit,Minimal,Minor,Minimal,Minimal,"Places3 groceries, 23 restaurants, 5 parksTransit122, 18, 23, 28, 29, 48, 57, 58, 66, 91, L-OWL, LBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423760664,1200000.0,,,,https://www.redfin.com/CA/San-Francisco/1835-Wawona-St-94116/home/1494129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2287 47th Ave,San Francisco,CA,94116,1300000,2.0,1.0,SUNSET,1025.0,1625.0,1951.0,1,1268.0,,Active,,,https://www.redfin.com/CA/San-Francisco/2287-47th-Ave-94116/home/913242,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040681,N,Y,37.7439151,-122.5060458,Natural Gas,Carpet,,9,7,10,1268.0,1305761.0,9192.0,73,Very bikeable,59,Somewhat walkable,55,Good transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 26 restaurants, 6 parksTransit18, 23, 29, 48, 58, 7, L-OWL, LBUS","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040681",1300000.0,,,,https://www.redfin.com/CA/San-Francisco/2287-47th-Ave-94116/home/913242,2.0,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1 Steuart Ln #705,San Francisco,CA,94105,1559000,1.0,1.0,San Francisco,863.0,20415.0,2021.0,1,1806.0,2263.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/1-Steuart-Ln-94105/unit-705/home/187766733,San Francisco MLS,423913513,N,Y,37.7916703,-122.391584,Central,Wood,,5,3,NA,1806.0,1556403.0,13286.0,80,Very bikeable,96,Walker's paradise,100,/100Rider's paradise,NA,NA,NA,NA,"Places3 groceries, 19 restaurants, 4 parksTransit101, 114, 12, 130, 132, 14, 14R, 150, 154, 172, 2, 25, 292, 38, 38R, 397, 398, 5, 5R, 6, 7, 701, 702, 703, 704, 705, 706, 707, 714, 9, 9R, E, F, FCX, HB, J, KBUS, KT, L-OWL, M, N, N-OWL, NBUS, NL, OA, P41, RCH, SEA, TBUS, TC, VJO, Z","Sep 29, 2023",Listed (Active)San Francisco MLS #423913513,1559000.0,,,,https://www.redfin.com/CA/San-Francisco/1-Steuart-Ln-94105/unit-705/home/187766733,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (2-4 Unit),3542 24th St,San Francisco,CA,94110,1795000,5.0,2.0,San Francisco,3208.0,3436.0,1900.0,1,560.0,,Active,,,https://www.redfin.com/CA/San-Francisco/3542-24th-St-94110/home/1157498,San Francisco MLS,423913484,N,Y,37.7522676,-122.4223704,,,,1,2,2,560.0,,12692.0,91,Biker's paradise,99,Walker's paradise,84,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 33 restaurants, 2 parksTransit12, 14, 14R, 24, 27, 33, 36, 48, 49, 67, 714, 800, Blue-N, Blue-S, Green-N, Green-S, J, Red-N, Red-S, Yellow-N, Yellow-S","Sep 29, 2023",Listed (Active)San Francisco MLS #423913484,1795000.0,"May 17, 2022",,NA,https://www.redfin.com/CA/San-Francisco/3542-24th-St-94110/home/1157498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,651 41st Ave,San Francisco,CA,94121,2675000,5.0,4.0,San Francisco,2345.0,2252.0,1923.0,1,1141.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/651-41st-Ave-94121/home/2003929,San Francisco MLS,423913188,N,Y,37.7764023,-122.5019344,Central,"Tile, Wood",Natural Gas Connected,9,8,7,1141.0,,18914.0,67,Bikeable,89,Very walkable,65,Good transit,Minimal,Moderate,Minor,Minimal,"Places6 groceries, 33 restaurants, 9 parksTransit1, 18, 29, 31, 38, 38R, 5, 5R","Sep 29, 2023",Listed (Active)San Francisco MLS #423913188,2675000.0,"Nov 18, 2020",PendingSan Francisco MLS #509817,NA,https://www.redfin.com/CA/San-Francisco/651-41st-Ave-94121/home/2003929,,None,,"Nov 13, 2020",Listed (Active)San Francisco MLS #509817,1298000.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3425 Noriega St,San Francisco,CA,94122,998000,2.0,1.0,San Francisco,1124.0,2435.0,1945.0,1,888.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/3425-Noriega-St-94122/home/1574005,San Francisco MLS,423912663,N,Y,37.7529996,-122.5005452,"Central, Gas","Tile, Vinyl, Wood",,9,8,7,888.0,1014624.0,7056.0,82,Very bikeable,87,Very walkable,54,Good transit,Moderate,Minor,Minor,Minimal,"Places6 groceries, 28 restaurants, 6 parksTransit18, 29, 48, 7, L-OWL, LBUS, N, N-OWL, NBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423912663,998000.0,,,,https://www.redfin.com/CA/San-Francisco/3425-Noriega-St-94122/home/1574005,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,62 Delmar St,San Francisco,CA,94117,1495000,3.0,1.5,San Francisco,1149.0,1999.0,1908.0,1,1301.0,325.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/62-Delmar-St-94117/home/49781089,San Francisco MLS,423913227,N,Y,37.7680776,-122.4455586,Fireplace(s),"Tile, Wood",,8,2,8,1301.0,,10896.0,73,Very bikeable,97,Walker's paradise,77,Excellent transit,Minimal,NA,Minor,Minimal,"Places7 groceries, 27 restaurants, 4 parksTransit21, 33, 37, 43, 5, 5R, 6, 7, N, N-OWL, NBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423913227,1495000.0,"Oct 8, 2021",ListedSan Francisco MLS #421589291,1395000.0,https://www.redfin.com/CA/San-Francisco/62-Delmar-St-94117/home/49781089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,574 Silver Ave,San Francisco,CA,94112,949000,2.0,2.0,San Francisco,,3210.0,1919.0,1,,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/574-Silver-Ave-94112/home/772429,San Francisco MLS,423912576,N,Y,37.7284594,-122.4247282,"Central, Gas, Wall Furnace","Tile, Vinyl",,5,5,5,,956888.0,6710.0,58,Bikeable,68,Somewhat walkable,77,Excellent transit,Minimal,Minimal,Minimal,Minimal,"Places5 groceries, 33 restaurants, 7 parksTransit14, 14R, 23, 29, 35, 36, 44, 49, 52, 54, 67, J","Sep 29, 2023",Listed (Active)San Francisco MLS #423912576,949000.0,,,,https://www.redfin.com/CA/San-Francisco/574-Silver-Ave-94112/home/772429,,None,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,451 Kansas St #398,San Francisco,CA,94107,1089000,2.0,2.0,San Francisco,931.0,80311.0,2007.0,1,1170.0,689.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-398/home/23424294,San Francisco MLS,423913191,N,Y,37.7637484,-122.4027468,Electric,"Tile, Wood",,5,3,NA,1089.0,1089137.0,8389.0,72,Very bikeable,96,Walker's paradise,74,Excellent transit,Minimal,NA,Moderate,Minimal,"Places3 groceries, 33 restaurants, 5 parksTransit19, 22, 27, 292, 33, 397, 48, 55, 9, 90, 9R, CCA/Adobe, TC, West","Sep 29, 2023",Listed (Active)San Francisco MLS #423913191,1089000.0,"Jun 10, 2016",PendingSan Francisco MLS #446462,NA,https://www.redfin.com/CA/San-Francisco/451-Kansas-St-94107/unit-398/home/23424294,,None,,"Jun 3, 2016",Listed (Active)San Francisco MLS #446462,995000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1501 Filbert St Ph 7F,San Francisco,CA,94123,2995000,2.0,2.5,San Francisco,1634.0,10900.0,2014.0,1,1833.0,979.0,Active,,,https://www.redfin.com/CA/San-Francisco/1501-Filbert-St-94123/unit-7F/home/102817181,San Francisco MLS,423913352,N,Y,37.7991911,-122.4245164,,"Carpet, Wood",,6,6,7,1833.0,2992523.0,22156.0,77,Very bikeable,100,/100Walker's paradise,82,Excellent transit,Minimal,NA,Minor,Minimal,"Places4 groceries, 22 restaurants, 0 parksTransit1, 101, 114, 12, 130, 132, 150, 154, 172, 19, 27, 28, 30, 43, 45, 49, 90, 91, PH","Sep 29, 2023",Listed (Active)San Francisco MLS #423913352,2995000.0,"Jun 27, 2018",DelistedSan Francisco MLS #470700,NA,https://www.redfin.com/CA/San-Francisco/1501-Filbert-St-94123/unit-7F/home/102817181,,,,"May 11, 2018",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,396 Guerrero St,San Francisco,CA,94103,1395000,3.0,1.5,San Francisco,1738.0,3043.0,1907.0,1,803.0,393.0,Active,September-30-2023 12:00 PM,September-30-2023 02:00 PM,https://www.redfin.com/CA/San-Francisco/396-Guerrero-St-94103/home/12353103,San Francisco MLS,423913397,N,Y,37.7649803,-122.4243613,Central,"Tile, Wood",,2,2,2,803.0,1409517.0,10257.0,100,/100Biker's paradise,99,Walker's paradise,97,Rider's paradise,Minimal,NA,Minor,Minimal,"Places0 groceries, 37 restaurants, 0 parksTransit12, 14, 14R, 22, 27, 33, 37, 49, 55, 6, 7, 714, 800, Blue-N, Blue-S, F, Green-N, Green-S, J, KBUS, KT, L-OWL, M, N, N-OWL, NBUS, Red-N, Red-S, TBUS, Yellow-N, Yellow-S","Sep 29, 2023",Listed (Active)San Francisco MLS #423913397,1395000.0,"Apr 30, 2017",PendingSan Francisco MLS #456377,NA,https://www.redfin.com/CA/San-Francisco/396-Guerrero-St-94103/home/12353103,,,,"Apr 21, 2017",Contingent (Contingent - Show)San Francisco MLS #456377,NA,"Mar 31, 2017",Listed (Active)San Francisco MLS #456377,1295000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,2999 California St #63,San Francisco,CA,94115,619000,1.0,1.0,San Francisco,613.0,4761.0,1929.0,1,1010.0,645.0,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/San-Francisco/2999-California-St-94115/unit-63/home/102816748,San Francisco MLS,423913379,N,Y,37.7874366,-122.4435262,Steam,Wood,,5,8,7,1010.0,632496.0,5022.0,81,Very bikeable,97,Walker's paradise,71,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 24 restaurants, 1 parkTransit1, 2, 22, 24, 31, 38, 38R, 43, 45, 5","Sep 29, 2023",Listed (Active)San Francisco MLS #423913379,619000.0,"May 6, 2005",DelistedSan Francisco MLS #286962,NA,https://www.redfin.com/CA/San-Francisco/2999-California-St-94115/unit-63/home/102816748,,,,"Apr 15, 2005",ListedSan Francisco MLS #286962,459000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),648 - 656 Pacific Ave,San Francisco,CA,94133,2995000,0.0,,San Francisco,15039.0,8023.0,1911.0,1,199.0,,Active,,,https://www.redfin.com/CA/San-Francisco/648-Pacific-Ave-94133/home/161024736,San Francisco MLS,423913380,N,Y,37.7972251,-122.4065256,"Central, Gas","Tile, Vinyl",,7,4,NA,199.0,,21177.0,73,Very bikeable,100,/100Walker's paradise,100,/100Rider's paradise,NA,NA,NA,NA,"Places3 groceries, 43 restaurants, 0 parksTransit1, 114, 12, 132, 154, 172, 30, 39, 45, 8, 8AX, 8BX, 91, C, PH, PM","Sep 29, 2023",Listed (Active)San Francisco MLS #423913380,2995000.0,"Oct 31, 2019",Delisted (Canceled)San Francisco MLS #483103,NA,https://www.redfin.com/CA/San-Francisco/648-Pacific-Ave-94133/home/161024736,,,,"Apr 3, 2019",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,401 Harrison St Unit 18F,San Francisco,CA,94105,1245000,1.0,1.0,San Francisco,830.0,56023.0,2014.0,1,1500.0,1546.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-18F/home/110263325,San Francisco MLS,423906981,N,Y,37.7863747,-122.3919931,Central,Wood,,5,3,NA,1500.0,,10349.0,57,Bikeable,94,Walker's paradise,100,/100Rider's paradise,Minimal,NA,Minor,Minimal,"Places4 groceries, 15 restaurants, 6 parksTransit101, 114, 12, 130, 132, 150, 154, 172, 25, 38, 38R, 5, 5R, 7, 701, 702, 703, 704, 705, 706, 707, 714, B, C, CB, E, F, FS, G, H, J, KT, LA, Lynx, M, N, N-OWL, NBUS, NL, NX, NX1, NX2, NX3, NX4, NXC, O, OX, P, TBUS, TC, V, W, Z","Sep 15, 2023",Listed (Active)San Francisco MLS #423906981,1245000.0,,,,https://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-18F/home/110263325,,"Central, Heat Pump",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,182 Alpine Ter,San Francisco,CA,94117,1795000,3.0,3.0,San Francisco,2080.0,2250.0,1908.0,1,863.0,,Active,October-4-2023 11:00 AM,October-4-2023 01:00 PM,https://www.redfin.com/CA/San-Francisco/182-Alpine-Ter-94117/home/1101884,San Francisco MLS,423913361,N,Y,37.7675627,-122.4375008,,,,8,2,2,863.0,1861424.0,12692.0,65,Bikeable,93,Walker's paradise,85,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places5 groceries, 22 restaurants, 11 parksTransit21, 22, 24, 33, 35, 37, 43, 6, 7, F, KBUS, KT, L-OWL, M, N, N-OWL, NBUS, TBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423913361,1795000.0,,,,https://www.redfin.com/CA/San-Francisco/182-Alpine-Ter-94117/home/1101884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,37 Saturn St,San Francisco,CA,94114,1195000,2.0,1.0,San Francisco,1100.0,2186.0,1900.0,1,1086.0,,Active,September-30-2023 12:00 PM,September-30-2023 02:00 PM,https://www.redfin.com/CA/San-Francisco/37-Saturn-St-94114/home/1637023,BAREIS,423912175,N,Y,37.7625977,-122.4416116,,,,8,2,NA,1086.0,1287675.0,8449.0,64,Bikeable,91,Walker's paradise,79,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 26 restaurants, 19 parksTransit24, 33, 35, 37, 6, F, KBUS, KT, L-OWL, M, TBUS","Sep 29, 2023",Listed (Active)BAREIS #423912175,1195000.0,,,,https://www.redfin.com/CA/San-Francisco/37-Saturn-St-94114/home/1637023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,325 China Basin St #515,San Francisco,CA,94158,1395000,2.0,2.0,San Francisco,1295.0,58215.0,2008.0,1,1077.0,1159.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/325-China-Basin-St-94158/unit-515/home/21966272,San Francisco MLS,423912278,N,Y,37.7719487,-122.3875674,Electric,"Carpet, Tile, Wood",,5,3,NA,1077.0,1390499.0,11023.0,93,Biker's paradise,86,Very walkable,76,Excellent transit,Major,NA,Minor,Minimal,"Places2 groceries, 40 restaurants, 5 parksTransit114, 12, 132, 15, 154, 172, 19, 22, 30, 45, 48, 55, 8, 8AX, 8BX, 91, B7, Berk - P52 - P1.5, Berk-SF, CCA/Adobe, East, KT, L1, L2, L3, L4, L5, L6, Megabus, N, N-OWL, NBUS, TBUS, TC, West","Sep 29, 2023",Listed (Active)San Francisco MLS #423912278,1395000.0,"Mar 8, 2009",DelistedSan Francisco MLS #353178,NA,https://www.redfin.com/CA/San-Francisco/325-China-Basin-St-94158/unit-515/home/21966272,,,,"Feb 24, 2009",,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1490 Francisco St #9,San Francisco,CA,94123,1349000,2.0,1.0,San Francisco,,5000.0,1924.0,1,,613.0,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/San-Francisco/1490-Francisco-St-94123/unit-9/home/170576384,San Francisco MLS,423911043,N,Y,37.802786,-122.4295821,,"Tile, Wood",,6,6,7,,1349320.0,10151.0,96,Biker's paradise,95,Walker's paradise,77,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places4 groceries, 14 restaurants, 9 parksTransit101, 114, 130, 132, 150, 154, 172, 19, 22, 28, 30, 43, 45, 49, 90, 91, PH","Sep 29, 2023",Listed (Active)San Francisco MLS #423911043,1349000.0,"Apr 6, 2020",PendingSan Francisco MLS #494465,NA,https://www.redfin.com/CA/San-Francisco/1490-Francisco-St-94123/unit-9/home/170576384,,Window Unit(s),,"Feb 27, 2020",Contingent (Contingent - Show)San Francisco MLS #494465,NA,"Feb 14, 2020",Listed (Active)San Francisco MLS #494465,1150000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,160 Graystone Ter #9,San Francisco,CA,94114,975000,1.0,1.0,San Francisco,918.0,,1951.0,1,1062.0,998.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/160-Graystone-Ter-94114/unit-9/home/12352812,San Francisco MLS,423913336,N,Y,37.7571927,-122.4460382,,,,9,8,NA,1062.0,,7892.0,47,Somewhat bikeable,57,Somewhat walkable,67,Good transit,Minimal,Minimal,Minimal,Minimal,"Places7 groceries, 20 restaurants, 22 parksTransit33, 35, 36, 37, 43, 6, KBUS, L-OWL","Sep 29, 2023",Listed (Active)San Francisco MLS #423913336,975000.0,"Jun 6, 2006",DelistedSan Francisco MLS #299459,NA,https://www.redfin.com/CA/San-Francisco/160-Graystone-Ter-94114/unit-9/home/12352812,,,,"Dec 9, 2005",ListedSan Francisco MLS #299459,659000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,58 Varennes St Unit B,San Francisco,CA,94133,699000,2.0,1.0,San Francisco,580.0,1050.0,1906.0,1,1205.0,125.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/San-Francisco/58-Varennes-St-94133/unit-B/home/541367,San Francisco MLS,423912285,N,Y,37.8005638,-122.4067219,,"Parquet, Tile",,9,4,NA,1205.0,699790.0,5142.0,63,Bikeable,100,/100Walker's paradise,90,Rider's paradise,Minimal,Minimal,Minor,Minimal,"Places2 groceries, 49 restaurants, 4 parksTransit1, 114, 12, 132, 154, 172, 30, 39, 45, 8, 8AX, 8BX, 91, F, L-OWL, PH, PM","Sep 29, 2023",Listed (Active)San Francisco MLS #423912285,699000.0,,,,https://www.redfin.com/CA/San-Francisco/58-Varennes-St-94133/unit-B/home/541367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,169 Parnassus Ave,San Francisco,CA,94117,1995000,3.0,2.0,San Francisco,1848.0,3008.0,1890.0,1,1080.0,250.0,Active,October-1-2023 12:00 PM,October-1-2023 02:00 PM,https://www.redfin.com/CA/San-Francisco/169-Parnassus-Ave-94117/home/28940402,San Francisco MLS,423761154,N,Y,37.7643629,-122.451658,"Central, Fireplace(s), Gas","Carpet, Wood",,7,8,8,1080.0,2008379.0,14356.0,70,Very bikeable,96,Walker's paradise,68,Good transit,Minimal,NA,Minimal,Minimal,"Places4 groceries, 27 restaurants, 4 parksTransit21, 33, 37, 43, 6, 7, N, N-OWL, NBUS","Sep 29, 2023",Listed (Active)San Francisco MLS #423761154,1995000.0,,,,https://www.redfin.com/CA/San-Francisco/169-Parnassus-Ave-94117/home/28940402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2800 Pacific Ave,San Francisco,CA,94115,14995000,5.0,5.0,San Francisco,8179.0,9130.0,1908.0,1,1833.0,,Active,,,https://www.redfin.com/CA/San-Francisco/2800-Pacific-Ave-94115/home/1040354,San Francisco MLS,423911656,N,Y,37.7926794,-122.4417475,"Central, Gas",Wood,,5,8,NA,1833.0,,106024.0,59,Bikeable,91,Walker's paradise,73,Excellent transit,Minimal,Minimal,Minor,Minimal,"Places2 groceries, 22 restaurants, 3 parksTransit1, 101, 114, 130, 132, 150, 154, 172, 2, 22, 24, 28, 30, 38, 38R, 43, 45, 91","Sep 29, 2023",Listed (Active)San Francisco MLS #423911656,14995000.0,"Feb 28, 2014",Pending (Contingent - Show)San Francisco MLS #398164,NA,https://www.redfin.com/CA/San-Francisco/2800-Pacific-Ave-94115/home/1040354,,,,"Nov 13, 2013",Price ChangedSan Francisco MLS #398164,8900000.0,"Nov 12, 2013",Price ChangedSan Francisco MLS #398164,8999000.0,"Sep 11, 2013",Price ChangedSan Francisco MLS #398164,9650000.0,"May 1, 2013",Price Changed (Active)San Francisco MLS #398164,11995000.0,,,,,,,,,"May 1, 2013",NA,"Feb 28, 2013",NA,"Oct 4, 2012",9750000.0,"Jun 22, 2012",10950000.0,Relisted (Active)San Francisco MLS #398164,DelistedSan Francisco MLS #398164,Price ChangedSan Francisco MLS #398164,Listed (Active)San Francisco MLS #398164
