SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,DINNING_DESC,LAUNDARY_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,FEES_INCLUDE,HOA_NAME,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,FLOORING_FEATURES,HOA_FEE_FREQ,NUM_STORIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,BATH_DESCRIPTION,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE
MLS Listing,,Condo/Co-op,1075 Shell Blvd #3,Foster City,CA,94404,839000,2,2.0,FOSTER CITY,994,,1972.0,10.0,844,636.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1075-Shell-Blvd-94404/unit-3/home/1745008,MLSListings,ML81942541,N,Y,37.5492835,-122.2630403,Guest/Visitor Parking,,Dining Area,"Inside, Washer/Dryer",,Electric,Public Utilities,"Common Area Electricity, Common Area Gas, Garbage, Insurance (Common Area), Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Reserves, Water",San Harbour,9,8,7,2.5,844.0,,6568.0,63,Bikeable,53,Somewhat walkable,NA,NA,NA,NA,"Places5 groceries, 14 restaurants, 15 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, NFC Shuttle, RLC Shuttle","Sep 20, 2023",Listed (Active)MLSListings #ML81942541,839000.0,https://www.redfin.com/CA/Foster-City/1075-Shell-Blvd-94404/unit-3/home/1745008,"Carpet, Tile, Vinyl/Linoleum",Monthly,1.0,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,101 Starfish Ln,Foster City,CA,94404,2188000,4,3.5,FOSTER CITY,2194,,2023.0,13.0,997,487.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/101-Starfish-Ln-94404/home/187529786,MLSListings,ML81942235,N,Y,37.5638255,-122.2691289,Attached Garage,2.0,Dining Area,,Central Forced Air,Central Forced Air,"Individual Electric Meters, Individual Gas Meters","Insurance (Hazard), Landscaping/Gardening, Maintenance (Exterior), Reserves",Helsing Group,NA,NA,NA,2.5,997.0,,15958.0,56,Bikeable,77,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 19 restaurants, 9 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 17, 2023",Listed (Active)MLSListings #ML81942235,2188000.0,https://www.redfin.com/CA/Foster-City/101-Starfish-Ln-94404/home/187529786,,Monthly,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,902 Beach Park Blvd #137,Foster City,CA,94404,808000,2,2.0,FOSTER CITY,1087,,1973.0,15.0,743,640.0,Active,September-30-2023 11:00 AM,September-30-2023 01:00 PM,https://www.redfin.com/CA/Foster-City/902-Beach-Park-Blvd-94404/unit-137/home/970565,MLSListings,ML81940688,N,Y,37.5479991,-122.2589314,"Assigned Spaces, Covered Parking, Guest/Visitor Parking, Parking Area, Unassigned Spaces, Uncovered Parking",,"Breakfast Nook, Dining Area in Living Room","Electricity Hookup (220V), Inside, Washer/Dryer",,"Baseboard, Individual Room Controls, Wall Furnace",Public Utilities,"Common Area Electricity, Common Area Gas, Exterior Painting, Garbage, Insurance (Liability), Landscaping/Gardening, Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Recreation Facility, Reserves, Water/Sewer",Sand Harbor South,8,8,7,2.5,743.0,,6353.0,67,Bikeable,38,Car-dependent,NA,NA,NA,NA,"Places5 groceries, 14 restaurants, 19 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, RLC Shuttle","Sep 26, 2023",Relisted (Active)MLSListings #ML81940688,NA,https://www.redfin.com/CA/Foster-City/902-Beach-Park-Blvd-94404/unit-137/home/970565,"Carpet, Laminate, Vinyl/Linoleum, Wood",Monthly,1.0,"Sep 15, 2023",Pending (Pending (Do Not Show))MLSListings #ML81940688,NA,"Sep 4, 2023",Listed (Active)MLSListings #ML81940688,808000.0,,,,"Dual Flush Toilet, Full on Ground Floor, Shower Over Tub, Solid Surface",,,,,,
MLS Listing,,Condo/Co-op,1031 Lido Ln,Foster City,CA,94404,1598000,2,2.5,FOSTER CITY,1780,,1975.0,15.0,898,576.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1031-Lido-Ln-94404/home/970118,MLSListings,ML81942015,N,Y,37.5540144,-122.2671019,"Detached, Guest/Visitor Parking, Lighted Parking Area",2.0,"Dining Area in Living Room, Dining Bar","Dryer, Inside, Washer",Ceiling Fan,"Individual Room Controls, Other (See Remarks)","Individual Electric Meters, Individual Gas Meters","Common Area Electricity, Common Area Gas, Exterior Painting, Insurance (Common Area), Insurance (Homeowners), Insurance (Liability), Maintenance (Common Area), Maintenance (Road), Management Fee, Pools, Spa, or Tennis, Reserves, Roof, Water/Sewer",Associa Property Mgmt,9,8,7,2.5,898.0,1604565.0,11875.0,47,Somewhat bikeable,63,Somewhat walkable,Severe,NA,Minor,Minimal,"Places5 groceries, 15 restaurants, 12 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle, RLC Shuttle","Sep 15, 2023",Listed (Active)MLSListings #ML81942015,1598000.0,https://www.redfin.com/CA/Foster-City/1031-Lido-Ln-94404/home/970118,"Carpet, Wood",Monthly,2.0,"Jun 24, 2012",Pending (Pending (Do Not Show))MLSListings #ML81219623,NA,"Jun 1, 2012",Pending (Pending Without Release)MLSListings #ML81219623,NA,"May 24, 2012",Listed (Active)MLSListings #ML81219623,518000.0,"Half on Ground Floor, Shower and Tub, Stall Shower, Tub",,,,,,
MLS Listing,,Single Family Residential,1030 Pizarro Ln,Foster City,CA,94404,2278000,4,3.0,FOSTER CITY,2360,4180.0,1974.0,17.0,965,743.0,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1030-Pizarro-Ln-94404/home/927655,MLSListings,ML81941690,N,Y,37.5529357,-122.2674109,"Attached Garage, Boat Dock, Common Parking Area, Gate/Door Opener",2.0,"Dining Area, Formal Dining Room","Dryer, Inside, Washer",,Central Forced Air,Public Utilities,"Common Area Electricity, Common Area Gas, Decks, Exterior Painting, Fencing, Insurance, Insurance (Common Area), Insurance (Hazard), Insurance (Homeowners), Insurance (Liability), Maintenance (Common Area), Maintenance (Exterior), Maintenance (Road), Management Fee, Pools, Spa, or Tennis, Reserves, Roof",Bayporte,9,8,7,2.5,965.0,2287881.0,16850.0,51,Bikeable,46,Car-dependent,Severe,Minimal,Minor,Minimal,"Places6 groceries, 13 restaurants, 13 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle, RLC Shuttle","Sep 13, 2023",Listed (Active)MLSListings #ML81941690,2278000.0,https://www.redfin.com/CA/Foster-City/1030-Pizarro-Ln-94404/home/927655,Hardwood,Monthly,2.0,,,,,,,,,,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Updated Bath(s)",,,,,,
MLS Listing,,Condo/Co-op,202 Calypso Ln,Foster City,CA,94404,1738000,2,2.5,FOSTER CITY,1692,,2023.0,20.0,1027,487.0,Active,,,https://www.redfin.com/CA/Foster-City/202-Calypso-Ln-94404/home/185350102,MLSListings,ML81941436,N,Y,37.5644614,-122.2686039,Attached Garage,2.0,Dining Area,,Central Forced Air,Central Forced Air,"Individual Electric Meters, Individual Gas Meters","Insurance (Hazard), Landscaping/Gardening, Maintenance (Exterior)",Helsing Group,8,8,7,2.5,1027.0,1714289.0,12776.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 10, 2023",Listed (Active)MLSListings #ML81941436,1738000.0,https://www.redfin.com/CA/Foster-City/202-Calypso-Ln-94404/home/185350102,,Monthly,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,204 Calypso Ln,Foster City,CA,94404,1398000,1,1.5,FOSTER CITY,1436,,2023.0,20.0,974,487.0,Active,,,https://www.redfin.com/CA/Foster-City/204-Calypso-Ln-94404/home/187413871,MLSListings,ML81941435,N,Y,37.5644614,-122.2686039,"Attached Garage, Tandem Parking",2.0,Dining Area,,Central Forced Air,Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters","Insurance (Hazard), Landscaping/Gardening, Maintenance (Exterior), Management Fee",Helsing Group,8,8,7,2.5,974.0,1378660.0,10372.0,55,Bikeable,76,Very walkable,Severe,NA,Minor,Minimal,"Places4 groceries, 18 restaurants, 10 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 10, 2023",Listed (Active)MLSListings #ML81941435,1398000.0,https://www.redfin.com/CA/Foster-City/204-Calypso-Ln-94404/home/187413871,,Monthly,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1111 Sprague Ln,Foster City,CA,94404,1348000,3,2.5,FOSTER CITY,1700,1925.0,1975.0,22.0,793,440.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/1111-Sprague-Ln-94404/home/935865,MLSListings,ML81941208,N,Y,37.5480232,-122.2607644,"Attached Garage, Guest/Visitor Parking",2.0,Formal Dining Room,,,"Forced Air, Gas",Natural Gas,Exterior Painting,Harborside,9,8,7,3.0,793.0,,9971.0,67,Bikeable,37,Car-dependent,Severe,Minimal,Moderate,Minimal,"Places5 groceries, 14 restaurants, 17 parksTransit251, 256, 260, 54, 57, 60, 67, FCC Shuttle, FCX, M, MAR Shuttle, RLC Shuttle","Sep 26, 2023",Price ChangedMLSListings #ML81941208,1348000.0,https://www.redfin.com/CA/Foster-City/1111-Sprague-Ln-94404/home/935865,,Monthly,,"Sep 8, 2023",Listed (Active)MLSListings #ML81941208,1395000.0,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,108 Flying Cloud Isle,Foster City,CA,94404,2395500,2,2.0,FOSTER CITY,1940,7192.0,1965.0,23.0,1235,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Foster-City/108-Flying-Cloud-Isle-94404/home/2002728,MLSListings,ML81941181,N,Y,37.5649642,-122.2648127,"Attached Garage, Gate/Door Opener, On Street, Parking Area",2.0,"Breakfast Bar, Formal Dining Room","Electricity Hookup (220V), In Utility Room, Washer/Dryer",,Central Forced Air (Gas),"Natural Gas, Public Utilities",,,9,8,7,2.5,1235.0,2395467.0,16938.0,49,Somewhat bikeable,64,Somewhat walkable,Severe,Minimal,Minor,Minimal,"Places3 groceries, 15 restaurants, 14 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 7, 2023",Listed (Active)MLSListings #ML81941181,2395500.0,https://www.redfin.com/CA/Foster-City/108-Flying-Cloud-Isle-94404/home/2002728,"Hardwood, Tile, Vinyl/Linoleum",,1.0,,,,,,,,,,"Marble, Primary (Stall Shower(s)), Shower Over Tub, Solid Surface, Tile",,,,,,
MLS Listing,,Condo/Co-op,4213 Admiralty Ln,Foster City,CA,94404,738000,2,1.5,FOSTER CITY,998,,1965.0,23.0,739,817.0,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Foster-City/4213-Admiralty-Ln-94404/home/1912376,MLSListings,ML81941066,N,Y,37.561437,-122.267213,"Carport, Covered Parking, Electric Gate, Gate/Door Opener, Guest/Visitor Parking",1.0,Dining Area in Living Room,Community Facility,,Central Forced Air (Gas),Public Utilities,"Garbage, Gas, Hot Water, Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Reserves, Roof, Unit Coverage Insurance, Water, Water/Sewer, Other (See Remarks)",The Admiralty,9,8,7,2.5,739.0,738544.0,6035.0,50,Bikeable,76,Very walkable,Major,NA,Minor,Minimal,"Places4 groceries, 17 restaurants, 12 parksTransit251, 256, 54, 57, FCC Shuttle, FCX, LC Shuttle, M, MAR Shuttle, NFC Shuttle","Sep 7, 2023",Listed (Active)MLSListings #ML81941066,738000.0,https://www.redfin.com/CA/Foster-City/4213-Admiralty-Ln-94404/home/1912376,"Carpet, Laminate, Tile",,2.0,,,,,,,,,,"Half on Ground Floor, Shower and Tub, Tile, Tub",,,,,,
