SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,HAS_GARAGE,HEATING_FEATURES,COOLING_FEATURES,BUYER_AGENCY_COMPENSATION,REDFIN_ESTIMATE,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,UTILITIES,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
MLS Listing,,Multi-Family (5+ Unit),214 W Ahwanee Ave,Sunnyvale,CA,94085,11999000,24.0,24.0,SUNNYVALE,31696.0,31576.0,2020.0,1062.0,379.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/214-W-Ahwanee-Ave-94085/home/1508781,MLSListings,ML81818434,N,Y,37.3977057,-122.0248086,3,5,6,379.0,84840.0,76,Very bikeable,67,Somewhat walkable,42,Some transit,Moderate,Minimal,Moderate,Minimal,"Places5 groceries, 30 restaurants, 3 parksTransit20, 200, 21, 53, 55, 56, ACE Gray, ACE Red, BB (Oct23), Blue Line Special, Blue-Event, BusBridge (6/18-6/27), BusBridge (6/18-6/29), BusBridge (Bypt-Foak), BusBridge Caltrain (MPK-SCL)), Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Express 121, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 523, School 255, Special Event","Sep 27, 2023",Price ChangedMLSListings #ML81818434,11999000.0,"Feb 24, 2023",Price ChangedMLSListings #ML81818434,13999000.0,"Nov 1, 2020",Listed (Active)MLSListings #ML81818434,14500000.0,,,,https://www.redfin.com/CA/Sunnyvale/214-W-Ahwanee-Ave-94085/home/1508781,48.0,Other (See Remarks),,1.5,,Other,,,,,Other (See Remarks),,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Home,,Townhouse,922 Noble Fir Ter #5,Sunnyvale,CA,94086,1254479,2.0,2.5,Lavender,1121.0,,2023.0,10.0,1119.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/922-Noble-Fir-Ter-94086/unit-5/home/187591404,NewHomeSource.com,2537125,N,Y,37.358036,-122.015912,6,6,8,1119.0,8870.0,79,Very bikeable,78,Very walkable,44,Some transit,NA,NA,NA,NA,"Places6 groceries, 31 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, Rapid 523, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/922-Noble-Fir-Ter-94086/unit-5/home/187591404,,,,,1247857.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Plan Eight,Sunnyvale,CA,94086,1280000,2.0,2.5,Lavender,1121.0,,,,1142.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Eight/home/181006468,NewHomeSource.com,Plan-241964111,N,Y,37.3580784,-122.0154013,6,6,8,1142.0,9050.0,79,Very bikeable,78,Very walkable,44,Some transit,NA,NA,NA,NA,"Places6 groceries, 29 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, Rapid 523, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Eight/home/181006468,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Plan Seven,Sunnyvale,CA,94086,1388300,2.0,2.0,Lavender,1232.0,,,,1127.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Seven/home/181006469,NewHomeSource.com,Plan-241964110,N,Y,37.3580784,-122.0154013,6,6,8,1127.0,9816.0,79,Very bikeable,78,Very walkable,44,Some transit,NA,NA,NA,NA,"Places6 groceries, 29 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, Rapid 523, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Seven/home/181006469,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Plan Six,Sunnyvale,CA,94086,1277356,2.0,2.0,Lavender,1078.0,,,,1185.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Six/home/186152666,NewHomeSource.com,Plan-241964109,N,Y,37.3580784,-122.0154013,6,6,8,1185.0,9032.0,79,Very bikeable,78,Very walkable,44,Some transit,NA,NA,NA,NA,"Places6 groceries, 29 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, Rapid 523, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Six/home/186152666,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Plan Two,Sunnyvale,CA,94086,1481947,2.0,2.5,Lavender,1444.0,,,,1026.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Two/home/180756857,NewHomeSource.com,Plan-241964107,N,Y,37.3580784,-122.0154013,6,6,8,1026.0,10478.0,79,Very bikeable,78,Very walkable,44,Some transit,NA,NA,NA,NA,"Places6 groceries, 29 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, Rapid 523, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-Two/home/180756857,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Plan One,Sunnyvale,CA,94086,1301880,2.0,2.5,Lavender,1216.0,,,,1071.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-One/home/180756858,NewHomeSource.com,Plan-241964106,N,Y,37.3580784,-122.0154013,6,6,8,1071.0,9205.0,79,Very bikeable,78,Very walkable,44,Some transit,NA,NA,NA,NA,"Places6 groceries, 29 restaurants, 2 parksTransit20, 21, 22, 53, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, Rapid 523, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Lavender/Plan-One/home/180756858,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Wilcox,Sunnyvale,CA,94086,1544995,2.0,2.5,Terraces at The Station,1658.0,,,,932.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Wilcox/home/185872226,NewHomeSource.com,Plan-242669058,N,Y,37.37002,-122.00011,5,7,6,932.0,10924.0,71,Very bikeable,19,Car-dependent,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 31 restaurants, 2 parksTransit20, 21, 22, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Wilcox/home/185872226,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Tasman,Sunnyvale,CA,94086,1824995,3.0,3.5,Terraces at The Station,1917.0,,,,952.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Tasman/home/185872317,NewHomeSource.com,Plan-242669057,N,Y,37.37002,-122.00011,5,7,6,952.0,12904.0,71,Very bikeable,19,Car-dependent,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 31 restaurants, 2 parksTransit20, 21, 22, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Tasman/home/185872317,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Murphy,Sunnyvale,CA,94086,2039995,4.0,3.5,Terraces at The Station,2387.0,,,,855.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Murphy/home/185871920,NewHomeSource.com,Plan-242669056,N,Y,37.37002,-122.00011,5,7,6,855.0,14424.0,71,Very bikeable,19,Car-dependent,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 31 restaurants, 2 parksTransit20, 21, 22, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Murphy/home/185871920,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Encina,Sunnyvale,CA,94086,1964995,4.0,4.0,Terraces at The Station,2219.0,,,,886.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Encina/home/185872644,NewHomeSource.com,Plan-242669055,N,Y,37.37002,-122.00011,5,7,6,886.0,13894.0,71,Very bikeable,19,Car-dependent,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 31 restaurants, 2 parksTransit20, 21, 22, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Encina/home/185872644,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
New Construction Plan,,Townhouse,Crossman,Sunnyvale,CA,94086,2024995,4.0,3.5,Terraces at The Station,2346.0,,,,863.0,,Active,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Crossman/home/185872253,NewHomeSource.com,Plan-242669054,N,Y,37.37002,-122.00011,5,7,6,863.0,14318.0,71,Very bikeable,19,Car-dependent,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 31 restaurants, 2 parksTransit20, 21, 22, 55, 56, ACE Gray, L1, L2, L3, L6, Rapid 522, School 255",,,,,,,,,,,,,https://www.redfin.com/CA/Sunnyvale/Terraces-at-The-Station/Crossman/home/185872253,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,
