SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,REDFIN_ESTIMATE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,UTILITIES,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,NUM_STORIES,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES
MLS Listing,,Single Family Residential,1387 63rd Ave,Oakland,CA,94621,435000,2.0,1.0,,990.0,4059.0,1942.0,2,439.0,,Active,,,https://www.redfin.com/CA/Oakland/1387-63rd-Ave-94621/home/578159,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040468,N,Y,37.7632953,-122.1971973,,,,,2,NA,1,2.5,439.0,3076.0,55,Bikeable,79,Very walkable,63,Good transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 17 restaurants, 1 parkTransit1, 356, 40, 45, 46, 46L, 47, 617, 638, 646, 650, 657, 73, 801, 805, 840, 90, 98, Beige-N, Beige-S, Blue-N, Blue-S, CC, Green-N, Green-S, Orange-N, Orange-S","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040468",435000.0,,,,,,,,,,https://www.redfin.com/CA/Oakland/1387-63rd-Ave-94621/home/578159,435759.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,200 200 2nd St St #503,Oakland,CA,94607,599000,2.0,1.0,Oakland,737.0,19985.0,2006.0,2,813.0,502.0,Active,October-1-2023 01:00 PM,October-1-2023 03:00 PM,https://www.redfin.com/CA/Oakland/200-2nd-St-94607/unit-503/home/12116144,San Francisco MLS,423904572,N,Y,37.7941167,-122.27075,,"Bamboo, Carpet",Electric,,8,3,6,,813.0,4737.0,86,Very bikeable,95,Walker's paradise,83,Excellent transit,Minimal,Minimal,Moderate,Minimal,"Places13 groceries, 30 restaurants, 3 parksTransit1, 12, 18, 19, 20, 29, 314, 33, 40, 51A, 611, 62, 72, 72M, 72R, 801, 840, 851, 88, 96, AMSJ2, BSD, BSN, Blue-N, Blue-S, CC, Green-N, Green-S, O, OA, Orange-N, Orange-S, SSF, W","Sep 28, 2023",Listed (Active)San Francisco MLS #423904572,599000.0,,,,,,,,,,https://www.redfin.com/CA/Oakland/200-2nd-St-94607/unit-503/home/12116144,597209.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1056 56th St,Oakland,CA,94608,565000,2.0,1.0,Gaskill,860.0,2475.0,1911.0,2,657.0,,Active,,,https://www.redfin.com/CA/Oakland/1056-56th-St-94608/home/1698783,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040458,N,Y,37.8394302,-122.2805774,,,,,4,7,6,2.5,657.0,3995.0,98,Biker's paradise,91,Walker's paradise,60,Good transit,Moderate,Minimal,Moderate,Minimal,"Places2 groceries, 26 restaurants, 4 parksTransit12, 18, 29, 36, 57, 657, 688, 72, 72M, 72R, 802, 88, AMSJ2, C, CC, F, J, Route 99, SF","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040458",565000.0,,,,,,,,,,https://www.redfin.com/CA/Oakland/1056-56th-St-94608/home/1698783,582660.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,6475 Girvin Dr,Oakland,CA,94611,1095000,3.0,2.0,MONTCLAIR,1849.0,5698.0,1974.0,2,592.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Oakland/6475-Girvin-Dr-94611/home/711339,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040113,N,Y,37.8303029,-122.1934285,2.0,"Hardwood, Parquet, Tile, Engineered Wood",Forced Air,Ceiling Fan(s),7,5,5,2.5,592.0,7742.0,24,Somewhat bikeable,1,Car-dependent,18,Minimal transit,Minimal,Moderate,Minimal,Minimal,"Places4 groceries, 23 restaurants, 8 parksTransit33, 339, 39, 604, 605, 606, 642, 646, 649, 650, 653, 655, 658, 660, 662, 677, 682, 688, 696, CB, V","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040113",1095000.0,,,,,,,,,,https://www.redfin.com/CA/Oakland/6475-Girvin-Dr-94611/home/711339,1395466.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,917 26th Ave,Oakland,CA,94601,595000,2.0,1.0,FRUITVALE,1019.0,2400.0,1912.0,2,584.0,,Active,,,https://www.redfin.com/CA/Oakland/917-26th-Ave-94601/home/909047,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040450,N,Y,37.7784558,-122.2360631,,"Laminate, Tile",Wall Furnace,,2,4,1,2.5,584.0,4207.0,95,Biker's paradise,89,Very walkable,65,Good transit,Minimal,Minimal,Moderate,Minimal,"Places6 groceries, 51 restaurants, 1 parkTransit1, 14, 19, 20, 21, 339, 39, 40, 47, 51A, 54, 62, 648, 654, 655, 663, 706, 801, 840, 851, Blue-N, Blue-S, Green-N, Green-S, O, OX, Orange-N, Orange-S, W","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040450",595000.0,,,,,,,,,,https://www.redfin.com/CA/Oakland/917-26th-Ave-94601/home/909047,592718.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),787 22nd St,Oakland,CA,94612,4400000,13.0,22.0,OAKLAND,13601.0,11300.0,1910.0,2,324.0,,Active,,,https://www.redfin.com/CA/Oakland/787-22nd-St-94612/home/1629674,MLSListings,ML81943428,N,Y,37.8125824,-122.2761805,,,Gas,,NA,3,2,2.0,324.0,31111.0,95,Biker's paradise,92,Walker's paradise,78,Excellent transit,Major,Minimal,Moderate,Minimal,"Places3 groceries, 20 restaurants, 4 parksTransit1, 12, 14, 18, 19, 20, 29, 314, 33, 36, 40, 51A, 6, 611, 705, 710, 72, 72M, 72R, 800, 801, 802, 805, 851, 88, BSD, BSN, NL, Orange-N, Orange-S, Red-N, Red-S, Yellow-N, Yellow-S","Sep 28, 2023",Listed (Active)MLSListings #ML81943428,4400000.0,"Jan 17, 2019",Listing RemovedSDMLS #301753728,NA,"Sep 1, 2014",,NA,,,,https://www.redfin.com/CA/Oakland/787-22nd-St-94612/home/1629674,,,,,,,,"Individual Electric Meters, Individual Gas Meters",,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,977 Aileen St,Oakland,CA,94608,1598000,7.0,5.0,OAKLAND,2400.0,3875.0,1910.0,2,666.0,,Active,October-1-2023 12:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Oakland/977-Aileen-St-94608/home/530265,MLSListings,ML81943416,N,Y,37.8403815,-122.277483,,Laminate,Central Forced Air (Gas),Other (See Remarks),4,7,6,3.0,666.0,11299.0,99,Biker's paradise,90,Walker's paradise,60,Good transit,Severe,Minimal,Moderate,Minimal,"Places5 groceries, 21 restaurants, 5 parksTransit12, 18, 29, 36, 57, 657, 688, 72, 72M, 72R, 802, 88, C, F","Sep 28, 2023",Listed (Active)MLSListings #ML81943416,1598000.0,,,,,,,,,,https://www.redfin.com/CA/Oakland/977-Aileen-St-94608/home/530265,1591777.0,,,,,,,"Primary Meter, Public Utilities",,,,,,,,,,2.0,Carport,,Dining Area in Living Room,"Electricity Hookup (110V), Hookup (Gas Dryer), In Utility Room, Upper Floor"
MLS Listing,,Single Family Residential,818 Northvale Rd,Oakland,CA,94610,1895000,6.0,4.0,CROCKER HGHLANDS,3721.0,4794.0,1922.0,2,509.0,19.0,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Oakland/818-Northvale-Rd-94610/home/526747,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040147,N,Y,37.808177,-122.2363844,2.0,"Hardwood, Tile, Carpet",Forced Air,"Ceiling Fan(s), Central Air, No Air Conditioning",8,7,4,2.5,509.0,13418.0,56,Bikeable,72,Very walkable,54,Good transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 23 restaurants, 0 parksTransit12, 29, 33, 57, 606, 611, 62, 653, 657, 658, 680, 688, 805, 96, B, NL, NX, NX1, V","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040147",1895000.0,"Apr 5, 2018","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40813227",NA,"Mar 25, 2018","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40813227",1595000.0,"Mar 9, 2018","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40813227",1850000.0,https://www.redfin.com/CA/Oakland/818-Northvale-Rd-94610/home/526747,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,10873 Packard St,Oakland,CA,94603,524888,2.0,2.0,DURANT SQUARE,885.0,,2002.0,2,593.0,412.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Oakland/10873-Packard-St-94603/home/22117965,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040112,N,Y,37.737834,-122.1621583,2.0,"Laminate, Carpet",Forced Air,Central Air,2,2,1,2.5,593.0,4123.0,74,Very bikeable,75,Very walkable,55,Good transit,Minimal,Minor,Moderate,Minimal,"Places7 groceries, 21 restaurants, 3 parksTransit1, 10, 34, 35, 40, 45, 57, 652, 680, 682, 801, 90, 98, NX3, NXC","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040112",524888.0,"Nov 16, 2009","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40436431",NA,"Oct 30, 2009","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40436431",144900.0,,,,https://www.redfin.com/CA/Oakland/10873-Packard-St-94603/home/22117965,527240.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3277 School St,Oakland,CA,94602,795000,2.0,1.0,LAUREL DISTRICT,1342.0,4200.0,1912.0,2,592.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Oakland/3277-School-St-94602/home/1000617,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040427,N,Y,37.7929178,-122.2088574,1.0,"Hardwood, Tile",Forced Air,Central Air,2,NA,1,2.5,592.0,5621.0,57,Bikeable,72,Very walkable,54,Good transit,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 20 restaurants, 5 parksTransit14, 20, 21, 339, 39, 54, 57, 604, 605, 611, 648, 653, 654, 655, 657, 658, 680, 805, 96, NL, NX, NX1, NX2, NXC","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040427",795000.0,,,,,,,,,,https://www.redfin.com/CA/Oakland/3277-School-St-94602/home/1000617,797686.0,,,,,,,Sewer Connected,,,,,,,,,,,,,,
