SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,UTILITIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PARK_DESCRIPTION,DINNING_DESC,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,LAUNDARY_FEATURES,BATH_DESCRIPTION,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,Transit Score,Transit Score_type,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_PRICE
MLS Listing,,Townhouse,3784 Dunmore Ln,Dublin,CA,94568,898900,2,2.5,DUBLIN,1634,13428.0,2004.0,4.0,550,250.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Dublin/3784-Dunmore-Ln-94568/home/1237010,MLSListings,ML81941651,N,Y,37.7081221,-121.8669205,2.0,,Central Forced Air,Central Forced Air,9,9,8,2.5,550.0,951900.0,6606.0,73,Very bikeable,61,Somewhat walkable,Minimal,Severe,Moderate,Minimal,"Places7 groceries, 34 restaurants, 8 parksTransit1, 10R, 14, 2, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 26, 2023",Listed (Active)MLSListings #ML81941651,898900.0,https://www.redfin.com/CA/Dublin/3784-Dunmore-Ln-94568/home/1237010,Public Utilities,"May 20, 2021","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40949743",NA,"May 13, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40949743",799000.0,,,,"Attached Garage, Off-Street Parking",Dining Area,3.0,"Common Area Electricity, Exterior Painting, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis, Roof",Monthly,Common Interest,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,3360 Maguire Way #437,Dublin,CA,94568,390457,1,1.0,DUBLIN,840,,2007.0,7.0,465,383.0,Active,,,https://www.redfin.com/CA/Dublin/3360-Maguire-Way-94568/unit-437/home/12118031,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040072,N,Y,37.7060709,-121.8622068,1.0,"Concrete, Tile, Carpet",Forced Air,Central Air,9,9,8,1.75,465.0,396428.0,3144.0,60,Bikeable,57,Somewhat walkable,Minimal,Severe,Moderate,Minimal,"Places6 groceries, 36 restaurants, 7 parksTransit1, 10R, 14, 2, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 23, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040072",390457.0,https://www.redfin.com/CA/Dublin/3360-Maguire-Way-94568/unit-437/home/12118031,,"Jul 16, 2014","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",NA,"Jan 3, 2014","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",245000.0,"Dec 11, 2013","Price Changed (Price Change)bridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",245000.0,,,,,,,"Dec 11, 2013","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40640542",455000.0,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,5501 Demarcus Blvd #677,Dublin,CA,94568,679000,1,1.0,DUBLIN,950,,2007.0,9.0,715,394.0,Active,,,https://www.redfin.com/CA/Dublin/5501-De-Marcus-Blvd-94568/unit-677/home/12119341,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039782,N,Y,37.705241,-121.8987885,2.0,"Hardwood, Tile, Carpet",Forced Air,"Ceiling Fan(s), Central Air",7,7,8,2.5,715.0,699954.0,5195.0,90,Biker's paradise,49,Car-dependent,Minimal,Moderate,Moderate,Minimal,"Places7 groceries, 27 restaurants, 0 parksTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 501, 502, 503, 504, 54, 580X, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Oct 1, 2023","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #41039782",NA,https://www.redfin.com/CA/Dublin/5501-De-Marcus-Blvd-94568/unit-677/home/12119341,,"Sep 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039782",679000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,7646 Quail Creek Cir,Dublin,CA,94568,1739000,4,3.0,DUBLIN,2250,5690.0,1988.0,11.0,773,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/7646-Quail-Creek-Cir-94568/home/1888635,MLSListings,ML81942405,N,Y,37.7252559,-121.9129606,2.0,Laminate,Central Forced Air,Central Forced Air,8,7,8,2.5,773.0,1782501.0,12296.0,62,Bikeable,13,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places3 groceries, 13 restaurants, 7 parksTransit1, 100, 10R, 14, 150, 2, 20X, 3, 30R, 335, 35, 501, 502, 503, 504, 580X, 635, 636, 703, 70X, 8, 90, 97X, Bart, Blue-N, Blue-S, C - Bart, Route 6","Sep 19, 2023",Listed (Active)MLSListings #ML81942405,1739000.0,https://www.redfin.com/CA/Dublin/7646-Quail-Creek-Cir-94568/home/1888635,Public Utilities,"Mar 14, 2007","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40248122",NA,"Mar 10, 2007","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40248122",795000.0,,,,Attached Garage,Dining Area,,,,,,,,In Garage,,,,,,,,,,,
MLS Listing,,Single Family Residential,6976 Allegheny Dr,Dublin,CA,94568,1269000,3,2.0,ECHO PARK,1268,6461.0,1966.0,14.0,1001,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/6976-Allegheny-Dr-94568/home/1167209,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039066,N,Y,37.709156,-121.9237777,2.0,Engineered Wood,"Forced Air, Fireplace(s)",Central Air,8,7,8,2.5,1001.0,1325831.0,8973.0,73,Very bikeable,79,Very walkable,Minimal,Major,Moderate,Minimal,"Places3 groceries, 23 restaurants, 0 parksTransit3, 30R, 335, 35, 501, 502, 503, 504, 53, 603, 604, 636, 70X, Blue-N, Blue-S","Sep 16, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039066",1269000.0,https://www.redfin.com/CA/Dublin/6976-Allegheny-Dr-94568/home/1167209,All Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,8627 Beverly Ln,Dublin,CA,94568,999999,3,2.5,DUBLIN,1240,4065.0,1967.0,15.0,806,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/8627-Beverly-Ln-94568/home/143115698,MLSListings,ML81941408,N,Y,37.7257537,-121.9296595,1.0,,Central Forced Air (Gas),"Ceiling Fan, Central Forced Air",7,7,8,2.5,806.0,1003954.0,7071.0,70,Very bikeable,62,Somewhat walkable,Minimal,Extreme,Moderate,Minimal,"Places2 groceries, 20 restaurants, 5 parksTransit3, 30R, 335, 35, 501, 502, 503, 504, 53, 622, 636, 70X, Blue-N, Blue-S","Sep 18, 2023",Relisted (Active)MLSListings #ML81941408,NA,https://www.redfin.com/CA/Dublin/8627-Beverly-Ln-94568/home/143115698,Public Utilities,"Sep 12, 2023",Pending (Pending (Do Not Show))MLSListings #ML81941408,NA,"Sep 10, 2023",ContingentMLSListings #ML81941408,NA,"Sep 9, 2023",Listed (Active)MLSListings #ML81941408,999999.0,"Attached Garage, Off-Street Parking",No Formal Dining Room,1.0,,,,,,,"Electricity Hookup (220V), Inside","Primary (Stall Shower(s)), Shower and Tub",,,,,,,,,,
MLS Listing,,Single Family Residential,3184 Vittoria Loop,Dublin,CA,94568,1499999,3,3.0,DUBLIN RANCH,2368,2287.0,2015.0,17.0,633,208.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/3184-Vittoria-Loop-94568/home/57180846,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039056,N,Y,37.7130923,-121.8596634,2.0,"Hardwood, Tile",Zoned,Zoned,9,9,8,2.5,633.0,1518557.0,10814.0,54,Bikeable,39,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places3 groceries, 27 restaurants, 10 parksTransit1, 10R, 14, 2, 30R, 501, 502, 504, 54, 604, 605, 608, 610","Sep 13, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039056",1499999.0,https://www.redfin.com/CA/Dublin/3184-Vittoria-Loop-94568/home/57180846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,7612 Red Hills Ct,Dublin,CA,94568,2118000,4,3.5,SCHAEFER RANCH,3604,6030.0,2010.0,18.0,588,122.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/7612-Red-Hills-Ct-94568/home/17185415,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038192,N,Y,37.7041135,-121.9777702,3.0,"Hardwood, Tile, Carpet",Heat Pump,"Ceiling Fan(s), Central Air",8,7,8,2.5,588.0,2101566.0,15098.0,4,Somewhat bikeable,0,Car-dependent,Minimal,Severe,Moderate,Minimal,"Places2 groceries, 14 restaurants, 10 parksTransit3, 30R, 35, 501, 502, 503, 504, 53, 603, 604, 622, 636, Blue-N, Blue-S","Sep 12, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038192",2118000.0,https://www.redfin.com/CA/Dublin/7612-Red-Hills-Ct-94568/home/17185415,,"Oct 5, 2016","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40751311",NA,"Aug 26, 2016","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40751311",1220000.0,"Jul 28, 2016","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40751311",1250000.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,9010 Craydon Cir,San Ramon,CA,94583,483888,2,1.0,SUNNY GLEN,780,1224.0,1963.0,22.0,620,543.0,Active,,,https://www.redfin.com/CA/San-Ramon/9010-Craydon-Cir-94583/home/945476,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038567,N,Y,37.728241,-121.924152,,Vinyl,Forced Air,Central Air,8,9,8,2.5,620.0,482319.0,3964.0,62,Bikeable,45,Car-dependent,Moderate,Extreme,Moderate,Minimal,"Places1 grocery, 18 restaurants, 7 parksTransit3, 30R, 335, 35, 501, 502, 503, 504, 53, 622, 635, 636, 70X, Blue-N, Blue-S","Sep 8, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038567",483888.0,https://www.redfin.com/CA/San-Ramon/9010-Craydon-Cir-94583/home/945476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,7701 Peppertree Rd,Dublin,CA,94568,1250000,3,2.0,SILVERGATE,1760,7275.0,1963.0,23.0,710,,Active,September-30-2023 10:00 AM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Dublin/7701-Peppertree-Rd-94568/home/1162706,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038366,N,Y,37.7096816,-121.9415182,2.0,"Hardwood, Tile",Central,Ceiling Fan(s),8,7,8,2.5,710.0,1311676.0,8838.0,71,Very bikeable,58,Somewhat walkable,Minimal,Severe,Moderate,Minimal,"Places2 groceries, 21 restaurants, 6 parksTransit3, 30R, 335, 35, 501, 502, 503, 504, 53, 603, 604, 622, 636, 70X, Blue-N, Blue-S","Sep 29, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41038366",1250000.0,https://www.redfin.com/CA/Dublin/7701-Peppertree-Rd-94568/home/1162706,,"Sep 7, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038366",1300000.0,"Dec 12, 2022","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #41013511",NA,"Dec 4, 2022","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41013511",989000.0,,,,,,,"Dec 3, 2022","Relisted (Back On Market)bridgeMLS, Bay East AOR, or Contra Costa AOR #41013511",NA,,,"Nov 21, 2022","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #41013511",NA,"Nov 4, 2022","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41013511",1050000.0,,,,
