SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,url,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,Transit Score,Transit Score_type,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE,PRICE_HISTORY13_EVENT_DATE,PRICE_HISTORY13_EVENT_TYPE,PRICE_HISTORY13_PRICE,PRICE_HISTORY14_EVENT_DATE,PRICE_HISTORY14_EVENT_TYPE,PRICE_HISTORY14_PRICE
MLS Listing,,Vacant Land,,Los Gatos,CA,95033,449500,,,LOS GATOS,,13723.0,,32.0,,115.0,Active,,,https://www.redfin.com/CA/Los-Gatos/Broadway-95030/home/187224207,MLSListings,ML81940228,N,Y,37.2226069,-121.9864474,,,,,,,,,"Electricity (On Site), Gas (On Site), Public Utilities",,NA,NA,NA,2.5,,,3293.0,42,Somewhat bikeable,91,Walker's paradise,NA,NA,NA,NA,"Places2 groceries, 31 restaurants, 2 parksTransit27, 37, 57, 61","Aug 29, 2023",Listed (Active)MLSListings #ML81940228,449500.0,,,,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/Broadway-95030/home/187224207,"Common Area Electricity, Maintenance (Common Area), Pools, Spa, or Tennis, Recreation Facility",,Redwood Estates Service Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,0 Canon Dr,Los Gatos,CA,95030,400000,,,LOS GATOS,,94525.0,,34.0,,,Active,,,https://www.redfin.com/CA/Los-Gatos/Cannion-Dr-95030/home/148718062,MLSListings,ML81940013,N,Y,37.2282317,-121.9871217,,,,,,,,,Electricity (Available at Street),,NA,NA,NA,2.5,,,2828.0,42,Somewhat bikeable,82,Very walkable,NA,NA,NA,NA,"Places2 groceries, 34 restaurants, 2 parksTransit27, 37, 57, 61","Aug 27, 2023",Listed (Active)MLSListings #ML81940013,400000.0,"Aug 24, 2019",Listing RemovedSDMLS #301868060,NA,"Jan 14, 2019",,NA,,,,,,,https://www.redfin.com/CA/Los-Gatos/Cannion-Dr-95030/home/148718062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Other,35500 Loma Chiquita Rd,Los Gatos,CA,95033,750000,,,LOS GATOS,,3484800.0,,35.0,,,Active,,,https://www.redfin.com/CA/Los-Gatos/35500-Loma-Chiquita-Rd-95033/home/167112653,MLSListings,ML81939968,N,Y,37.1021028,-121.8375115,,,,,,,,,Other (See Remarks),,8,8,10,2.5,,,5303.0,,,0,Car-dependent,Minimal,Major,Minimal,Minimal,"Places7 groceries, 18 restaurants, 17 parksTransit64B, 66, 71, 72W, 75, 83, Express 102","Aug 26, 2023",Listed (Active)MLSListings #ML81939968,750000.0,"Apr 5, 2022",ContingentMLSListings #ML81874434,NA,"Mar 20, 2022",Price ChangedMLSListings #ML81874434,655000.0,"Feb 12, 2022",Relisted (Active)MLSListings #ML81874434,NA,"Jan 27, 2022",ContingentMLSListings #ML81874434,NA,https://www.redfin.com/CA/Los-Gatos/35500-Loma-Chiquita-Rd-95033/home/167112653,,,,,,"Jan 13, 2022",Listed (Active)MLSListings #ML81874434,649000.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,17925 Foster Rd,Los Gatos,CA,95030,4498000,4.0,3.5,LOS GATOS,4872.0,66372.0,1986.0,36.0,923.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/17925-Foster-Rd-95030/home/1052129,MLSListings,ML81939841,N,Y,37.207905,-121.972772,"Attached Garage, Electric Gate, Parking Area, Room for Oversized Vehicle, Uncovered Parking",4.0,"Bidet, Sauna, Shower Over Tub, 2+ Stall Shower, Tub in Master Bedroom, Tub w/Jets, 2+ Tubs","Breakfast Bar, Dining Area in Living Room, Eat in Kitchen",Inside,"Carpet, Hardwood, Marble",Central Forced Air,Heat Pump,Solar Panels - Owned,3.0,8,8,10,2.5,923.0,4413741.0,31804.0,14,Somewhat bikeable,2,Car-dependent,Minimal,Moderate,Moderate,Minimal,"Places1 grocery, 26 restaurants, 5 parksTransit27, 61","Sep 22, 2023",Price ChangedMLSListings #ML81939841,4498000.0,"Aug 25, 2023",Listed (Active)MLSListings #ML81939841,4750000.0,"Jan 7, 2013",Pending (Pending Without Release)MLSListings #ML81230332,NA,"Oct 23, 2012",Price ChangedMLSListings #ML81230332,2499000.0,"Aug 14, 2012",Listed (Active)MLSListings #ML81230332,2899000.0,https://www.redfin.com/CA/Los-Gatos/17925-Foster-Rd-95030/home/1052129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Other,620 Maymens Flat Rd,Los Gatos,CA,95033,1500000,3.0,2.0,LOS GATOS,1056.0,835742.0,2009.0,36.0,1420.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/620-Maymens-Flat-Rd-95033/home/40241547,MLSListings,ML81939796,N,Y,37.082216,-121.8309881,Parking Area,,"Primary (Stall Shower(s)), Shower Over Tub, Tile","Breakfast Bar, No Formal Dining Room","Electricity Hookup (220V), Hookup (Gas Dryer), Washer","Hardwood, Tile",,"Forced Air, Gas","Generator, Propane On Site, Solar Panels - Owned",1.0,4,5,7,2.5,1420.0,,10606.0,,,0,Car-dependent,Minimal,Severe,Minimal,Minimal,"Places9 groceries, 10 restaurants, 15 parksTransit55, 71, 72, 72W, 75, 83","Aug 25, 2023",Listed (Active)MLSListings #ML81939796,1500000.0,"Sep 23, 2022",Listing RemovedCRMLS #NP22110512,NA,"May 24, 2022",,NA,,,,,,,https://www.redfin.com/CA/Los-Gatos/620-Maymens-Flat-Rd-95033/home/40241547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,232 Mary Alice,Los Gatos,CA,95032,2395000,3.0,2.0,LOS GATOS,1695.0,6000.0,1965.0,37.0,1413.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/232-Mary-Alice-Dr-95032/home/1616767,MLSListings,ML81939790,N,Y,37.2463603,-121.952259,"Attached Garage, Gate/Door Opener, On Street, Uncovered Parking",2.0,"Double Sinks, Full on Ground Floor, Granite, Primary (Stall Shower(s)), Shower and Tub, Stall Shower, Tile, Updated Bath(s)","Breakfast Bar, Eat in Kitchen, No Formal Dining Room","Electricity Hookup (220V), Hookup (Gas Dryer), Inside, Tub/Sink","Laminate, Tile, Other (See Remarks)",Central Forced Air,"Central Forced Air, Forced Air, Gas","Individual Electric Meters, Individual Gas Meters, Public Utilities",1.0,9,9,8,2.5,1413.0,2388145.0,16934.0,67,Bikeable,74,Very walkable,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 14 restaurants, 4 parksTransit27, 37, 61, Express 101","Aug 24, 2023",Listed (Active)MLSListings #ML81939790,2395000.0,,,,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/232-Mary-Alice-Dr-95032/home/1616767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,15290 Upper Ellen Rd,Los Gatos,CA,95033,1200000,4.0,3.0,LOS GATOS,2300.0,401231.0,1979.0,37.0,522.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/15290-Upper-Ellen-Rd-95033/home/2399017,MLSListings,ML81939768,N,Y,37.141278,-122.0147719,"Attached Garage, Guest/Visitor Parking",2.0,"Shower Over Tub, 2+ Stall Shower, Tub","Breakfast Bar, Formal Dining Room",In Garage,"Carpet, Laminate",,"Fireplace, Forced Air",Propane On Site,,NA,NA,10,2.5,522.0,1250179.0,8485.0,2,Somewhat bikeable,0,Car-dependent,Minimal,Severe,Minor,Minimal,"Places6 groceries, 16 restaurants, 13 parksTransit17, 27, 35, 35E","Sep 29, 2023",Price ChangedMLSListings #ML81939768,1200000.0,"Sep 29, 2023",Relisted (Active)MLSListings #ML81939768,NA,"Sep 18, 2023",ContingentMLSListings #ML81939768,NA,"Sep 8, 2023",Price ChangedMLSListings #ML81939768,1249500.0,"Aug 24, 2023",Listed (Active)MLSListings #ML81939768,1299500.0,https://www.redfin.com/CA/Los-Gatos/15290-Upper-Ellen-Rd-95033/home/2399017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,25896 Adams Rd,Los Gatos,CA,95033,2398000,5.0,4.0,LOS GATOS,3704.0,131290.0,1971.0,37.0,647.0,,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/25896-Adams-Rd-95033/home/2406894,MLSListings,ML81939705,N,Y,37.10418,-121.911276,"Detached, Electric Car Hookup, Room for Oversized Vehicle",3.0,"Double Sinks, Granite, Primary (Tub w/ Jets), 2+ Showers Over Tubs, Tile","Breakfast Bar, Dining Area in Family Room, Formal Dining Room",In Utility Room,Tile,Central Forced Air,"Central Forced Air, Propane","Generator, Propane On Site, Public Utilities, Solar Panels - Owned",,8,8,10,2.5,647.0,2324969.0,16955.0,,,0,Car-dependent,Minimal,Severe,Minimal,Minimal,"Places9 groceries, 15 restaurants, 5 parksTransit17, 35, 35E, 55, 64B, 69A, 69W, 71, 83, 91X","Sep 25, 2023",Price ChangedMLSListings #ML81939705,2398000.0,"Sep 25, 2023",Price ChangedMLSListings #ML81939705,2395000.0,"Aug 24, 2023",Listed (Active)MLSListings #ML81939705,2425000.0,,,,,,,https://www.redfin.com/CA/Los-Gatos/25896-Adams-Rd-95033/home/2406894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,21715 Virdelle Dr,Los Gatos,CA,95033,1474999,4.0,2.0,LOS GATOS,2246.0,22000.0,1977.0,38.0,657.0,115.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/21715-Virdelle-Dr-95033/home/1544369,MLSListings,ML81938655,N,Y,37.1504994,-121.9936296,Attached Garage,2.0,"Primary (Stall Shower(s)), Shower Over Tub",Eat in Kitchen,"Inside, Washer/Dryer","Carpet, Hardwood, Laminate, Vinyl/Linoleum","Ceiling Fan, Window/Wall Unit","Baseboard, Fireplace, Solar",Solar Panels - Owned,1.0,8,8,10,2.5,657.0,1496432.0,10544.0,4,Somewhat bikeable,1,Car-dependent,Minimal,Moderate,Minimal,Minimal,"Places3 groceries, 25 restaurants, 10 parksTransit17, 27, 35, 35E","Sep 30, 2023",Price ChangedMLSListings #ML81938655,1474999.0,"Aug 23, 2023",Listed (Active)MLSListings #ML81938655,1499000.0,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/21715-Virdelle-Dr-95033/home/1544369,"Maintenance (Road), Pools, Spa, or Tennis",Monthly,Redwood Estates Service Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,19474 Aeronaut Way,Los Gatos,CA,95033,6398000,6.0,4.5,LOS GATOS,6231.0,95921.0,2020.0,38.0,1027.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/19474-Aeronaut-Way-95033/home/1490398,MLSListings,ML81939454,N,Y,37.2101784,-122.0164817,"Attached Garage, Carport, Covered Parking, Detached, Electric Car Hookup, Electric Gate, Gate/Door Opener, Guest/Visitor Parking, Lighted Parking Area, Room for Oversized Vehicle",3.0,"Double Sinks, Primary (Tub w/ Jets), Shower and Tub, Shower Over Tub, 2+ Stall Shower, Tub in Master Bedroom, 2+ Tubs",Dining Area,"Electricity Hookup (110V), Hookup (Gas Dryer), In Utility Room, Inside, Tub/Sink, Upper Floor, Washer/Dryer","Hardwood, Stone, Tile","Central Forced Air, Multi-Zone","Forced Air, Heat Pump, Propane, Radiant Floors","Public Utilities, Solar Panels - Owned",2.0,8,8,10,2.5,1027.0,,45238.0,5,Somewhat bikeable,0,Car-dependent,Minimal,Major,Minor,Minimal,"Places2 groceries, 29 restaurants, 11 parksTransit26, 27, 37, 51, 57","Aug 23, 2023",Relisted (Active)MLSListings #ML81939454,NA,"Aug 22, 2023",Listed (Active)MLSListings #ML81939454,6398000.0,"Aug 22, 2023",Listing RemovedMLSListings #ML81939454,NA,"Aug 8, 2016",ContingentMLSListings #ML81586417,NA,"Jul 21, 2016",Price ChangedMLSListings #ML81586417,1499000.0,https://www.redfin.com/CA/Los-Gatos/19474-Aeronaut-Way-95033/home/1490398,,,,,,"Jun 16, 2016",Price ChangedMLSListings #ML81586417,1588000.0,"May 19, 2016",Listed (Active)MLSListings #ML81586417,1650000.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,18001 Arlee Dr,Monte Sereno,CA,95030,2890000,4.0,2.0,MONTE SERENO,1524.0,10954.0,1954.0,38.0,1896.0,,Active,,,https://www.redfin.com/CA/Monte-Sereno/18001-Arlee-Dr-95030/home/1360247,MLSListings,ML81936634,N,Y,37.2337092,-121.9858557,Detached,2.0,,"Breakfast Nook, Dining Area in Living Room, Formal Dining Room, Other (See Remarks)","Inside, Washer/Dryer","Carpet, Hardwood",Central Forced Air,Central Forced Air,Public Utilities,1.0,8,8,10,2.5,1896.0,2845237.0,20434.0,55,Bikeable,73,Very walkable,Minimal,Major,Moderate,Minimal,"Places1 grocery, 26 restaurants, 1 parkTransit27, 37, 57, 61","Aug 23, 2023",Listed (Active)MLSListings #ML81936634,2890000.0,"Aug 21, 2022",Pending (Pending (Do Not Show))MLSListings #ML81898853,NA,"Aug 9, 2022",ContingentMLSListings #ML81898853,NA,"Jul 24, 2022",Price ChangedMLSListings #ML81898853,2495000.0,"Jul 4, 2022",Listed (Active)MLSListings #ML81898853,2595000.0,https://www.redfin.com/CA/Monte-Sereno/18001-Arlee-Dr-95030/home/1360247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,120 Oak Rim Way #14,Los Gatos,CA,95032,899000,2.0,1.5,LOS GATOS,1040.0,673.0,1971.0,38.0,864.0,510.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/120-Oak-Rim-Way-95032/unit-14/home/914402,MLSListings,ML81939522,N,Y,37.237073,-121.965016,"Carport, Guest/Visitor Parking, Off-Street Parking",,,Dining Area,Inside,,,Central Forced Air (Gas),Public Utilities,2.0,8,8,10,2.5,864.0,918757.0,6866.0,83,Very bikeable,83,Very walkable,Minimal,Minimal,Moderate,Minimal,"Places6 groceries, 22 restaurants, 6 parksTransit27, 37, 61","Sep 28, 2023",Price ChangedMLSListings #ML81939522,899000.0,"Sep 18, 2023",Price ChangedMLSListings #ML81939522,918000.0,"Sep 8, 2023",Price ChangedMLSListings #ML81939522,948000.0,"Aug 23, 2023",Listed (Active)MLSListings #ML81939522,985000.0,"Dec 18, 2012",Pending (Contingent)MLSListings #ML81242892,NA,https://www.redfin.com/CA/Los-Gatos/120-Oak-Rim-Way-95032/unit-14/home/914402,"Common Area Electricity, Garbage, Insurance (Common Area), Reserves, Sewer, Water",Monthly,Placer Oaks HOA,,,"Dec 11, 2012",Listed (Active)MLSListings #ML81242892,520000.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,16267 Gellatt Ct,Los Gatos,CA,95032,1968000,3.0,3.5,LOS GATOS,2040.0,,2022.0,39.0,965.0,375.0,Active,September-30-2023 01:00 PM,September-30-2023 03:00 PM,https://www.redfin.com/CA/Los-Gatos/16267-Gellatt-Ct-95032/home/181208269,MLSListings,ML81939410,N,Y,37.2507469,-121.95767,"Attached Garage, On Street",2.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Tub in Master Bedroom, Updated Bath(s)","Dining Area, Eat in Kitchen",Inside,"Carpet, Hardwood, Tile",Multi-Zone,Individual Room Controls,Public Utilities,3.0,8,8,10,2.5,965.0,1952917.0,14290.0,70,Very bikeable,58,Somewhat walkable,NA,NA,NA,NA,"Places4 groceries, 15 restaurants, 5 parksTransit27, 37, 61, Express 101","Aug 22, 2023",Listed (Active)MLSListings #ML81939410,1968000.0,,,,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/16267-Gellatt-Ct-95032/home/181208269,"Insurance (Common Area), Maintenance (Common Area), Maintenance (Exterior), Management Fee, Roof",Monthly,Vierra Moore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2305 Bear Canyon Rd,Los Gatos,CA,95033,800000,3.0,2.0,LOS GATOS,1115.0,477679.0,1993.0,40.0,717.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/2305-Bear-Canyon-Rd-95033/home/2399200,MLSListings,ML81938800,N,Y,37.1553098,-122.0416824,"Guest/Visitor Parking, Off-Street Parking, Room for Oversized Vehicle",,"Full on Ground Floor, Stall Shower","Dining Area, Dining Area in Living Room",,,Central Forced Air,"Fireplace, Wall Furnace",Propane On Site,2.0,NA,NA,10,2.5,717.0,807470.0,5656.0,2,Somewhat bikeable,0,Car-dependent,Minimal,Major,Minor,Minimal,"Places3 groceries, 21 restaurants, 17 parksTransit27, 35, 35E","Aug 21, 2023",Listed (Active)MLSListings #ML81938800,800000.0,"Oct 1, 2018",Pending (Pending (Do Not Show))MLSListings #ML81720871,NA,"Oct 1, 2018",Relisted (Active)MLSListings #ML81720871,NA,"Sep 2, 2018",ContingentMLSListings #ML81720871,NA,"Aug 28, 2018",Listed (Active)MLSListings #ML81720871,679000.0,https://www.redfin.com/CA/Los-Gatos/2305-Bear-Canyon-Rd-95033/home/2399200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,14720 Sky Ln,Los Gatos,CA,95032,2850000,4.0,5.0,LOS GATOS,3474.0,40075.0,1966.0,43.0,820.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Los-Gatos/14720-Sky-Ln-95032/home/1639221,MLSListings,ML81939154,N,Y,37.2252545,-121.9262891,Detached,2.0,"Bidet, Full on Ground Floor, Half on Ground Floor, Marble, Oversized Tub, Primary (Tub w/ Jets), 2+ Showers Over Tubs, Skylight, 2+ Stall Shower, Tile","Breakfast Room, Dining Area, Dining Area in Living Room, Eat in Kitchen","Dryer, Inside, Washer","Carpet, Hardwood, Laminate, Tile",Central Forced Air,Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters",2.0,8,8,10,2.5,820.0,2796075.0,20151.0,6,Somewhat bikeable,0,Car-dependent,Minimal,Major,Moderate,Minimal,"Places2 groceries, 12 restaurants, 7 parksTransit27, 37, 61, 64B, Express 101","Sep 29, 2023",Relisted (Active)MLSListings #ML81939154,NA,"Sep 25, 2023",ContingentMLSListings #ML81939154,NA,"Sep 8, 2023",Price ChangedMLSListings #ML81939154,2850000.0,"Aug 18, 2023",Listed (Active)MLSListings #ML81939154,2989000.0,,,,https://www.redfin.com/CA/Los-Gatos/14720-Sky-Ln-95032/home/1639221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,208 Beethoven Ln,Los Gatos,CA,95032,2200000,4.0,2.5,LOS GATOS,2130.0,4443.0,2006.0,43.0,1033.0,138.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Los-Gatos/208-Beethoven-Ln-95032/home/2124206,MLSListings,ML81939147,N,Y,37.2573328,-121.9530418,Attached Garage,2.0,"Double Sinks, Half on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub, Tile","Dining Area, Dining Area in Living Room","Dryer, Inside, Washer","Carpet, Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),"Individual Electric Meters, Individual Gas Meters, Public Utilities",2.0,7,7,8,2.5,1033.0,,15693.0,58,Bikeable,54,Somewhat walkable,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 11 restaurants, 7 parksTransit27, 37, 60, 61, Event Green, Express 101, Green (Winc-StJa), Green Line, Green Line Modified, Green Line Special, Green-South Portion, GreenS","Aug 25, 2023",Relisted (Active)MLSListings #ML81939147,NA,"Aug 25, 2023",Price ChangedMLSListings #ML81939147,2200000.0,"Aug 24, 2023",ContingentMLSListings #ML81939147,NA,"Aug 18, 2023",Listed (Active)MLSListings #ML81939147,1989000.0,"Oct 29, 2021",Pending (Pending (Do Not Show))MLSListings #ML81860700,NA,https://www.redfin.com/CA/Los-Gatos/208-Beethoven-Ln-95032/home/2124206,"Maintenance (Common Area), Management Fee",,The Classics at Kilmer Park Mgmt Assn,34,Some transit,"Oct 6, 2021",ContingentMLSListings #ML81860700,NA,"Sep 15, 2021",Listed (Active)MLSListings #ML81860700,1899888.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,22700 Old Santa Cruz Hwy,Los Gatos,CA,95033,11500000,2.0,2.0,LOS GATOS,2868.0,3136320.0,1910.0,43.0,4010.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/22700-Old-Santa-Cruz-Hwy-95033/home/186901696,MLSListings,ML81939075,N,Y,37.1383363,-121.9642412,"Carport, Covered Parking, Electric Car Hookup, Guest/Visitor Parking, No Garage, Off-Street Parking, Parking Area, Room for Oversized Vehicle",,"Full on Ground Floor, Primary (Stall Shower(s)), Primary (Tub w/ Jets), Shower Over Tub, Skylight, Tile, Tub, Tub in Master Bedroom, Tub w/Jets","Breakfast Nook, Eat in Kitchen, No Formal Dining Room, Skylight(s)","Dryer, Electricity Hookup (220V), In Utility Room, Inside, Washer","Carpet, Granite, Hardwood, Tile",,"Central Forced Air (Gas), Fireplace, Heating (2+ Zones), Propane, Stove (Wood)","Propane On Site, Public Utilities",2.0,8,8,10,2.0,4010.0,10234011.0,81312.0,2,Somewhat bikeable,1,Car-dependent,Minimal,Major,Minor,Minimal,"Places4 groceries, 16 restaurants, 9 parksTransit17, 27, 35, 35E","Aug 18, 2023",Listed (Active)MLSListings #ML81939075,11500000.0,,,,,,,,,,,,,https://www.redfin.com/CA/Los-Gatos/22700-Old-Santa-Cruz-Hwy-95033/home/186901696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,23342 Deerfield Rd,Los Gatos,CA,95033,2199000,4.0,3.0,LOS GATOS,3112.0,56715.0,1964.0,43.0,707.0,,Active,,,https://www.redfin.com/CA/Los-Gatos/23342-Deerfield-Rd-95033/home/2404694,MLSListings,ML81938998,N,Y,37.1247865,-121.9621973,"Attached Garage, Off-Street Parking, On Street",2.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Solid Surface, Stall Shower, Tile","Breakfast Bar, Dining Area","In Utility Room, Inside","Carpet, Hardwood, Tile",Central Forced Air,Central Forced Air (Gas),"Propane On Site, Public Utilities, Solar Panels - Owned",2.0,8,8,10,2.5,707.0,2160699.0,15548.0,,,1,Car-dependent,Minimal,Major,Minor,Minimal,"Places8 groceries, 14 restaurants, 6 parksTransit17, 27, 35, 35E, Route 6","Aug 18, 2023",Listed (Active)MLSListings #ML81938998,2199000.0,"Jun 26, 2017",ContingentMLSListings #ML81655739,NA,"Jun 13, 2017",Listed (Active)MLSListings #ML81655739,1500000.0,,,,,,,https://www.redfin.com/CA/Los-Gatos/23342-Deerfield-Rd-95033/home/2404694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1190 Eagle Tree Ln,Felton,CA,95018,1800000,3.0,2.5,FELTON,2521.0,824939.0,1988.0,43.0,714.0,,Active,,,https://www.redfin.com/CA/Felton/1190-Eagle-Tree-Ln-95018/home/2399077,MLSListings,ML81939033,N,Y,37.1398414,-122.0280503,Attached Garage,2.0,"Double Sinks, Full on Ground Floor, Primary - Oversized Tub, Primary (Stall Shower(s)), Shower Over Tub, Tub in Master Bedroom","Breakfast Bar, Dining Area","Inside, Washer/Dryer",,Ceiling Fan,"Central Forced Air, Fireplace",Propane On Site,2.0,NA,NA,10,2.5,714.0,1783798.0,12727.0,2,Somewhat bikeable,0,Car-dependent,Minimal,Severe,Minor,Minimal,"Places4 groceries, 18 restaurants, 12 parksTransit17, 35, 35E","Aug 18, 2023",Listed (Active)MLSListings #ML81939033,1800000.0,,,,,,,,,,,,,https://www.redfin.com/CA/Felton/1190-Eagle-Tree-Ln-95018/home/2399077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
